City,Domain,User,Stars,Feedback,Date
Marseille,rtm.fr,AR,0,Une catastrophej,2019-06-02T15:44:10.000Z
Paris,iledefrance-mobilites.fr,Arnaud Huon,0,Une application à oublier,2019-12-09T17:14:34.000Z
Bordeaux,infotbm.com,Arnaud Joly,1,,2022-01-15T11:58:16.000Z
Bordeaux,infotbm.com,Artémis,2,,2021-10-17T07:54:12.000Z
Marseille,rtm.fr,AS,0,Réseau de transports pitoyables bus qui…,2019-10-10T10:53:44.000Z
Marseille,rtm.fr,ATIA SABRINA,1,,2021-10-10T10:53:44.000Z
Montpellier,tam-voyages.com,Auriane Caplot,1,,2021-10-27T12:44:25.000Z
Bordeaux,infotbm.com,Aurélien Grail,1,,2019-08-26T15:11:52.000Z
Marseille,rtm.fr,Awa Penda Kandé,0,Le service de transport à desirer,2019-07-23T06:36:40.000Z
Montpellier,tam-voyages.com,Azur Kais,1,,2020-05-23T13:42:41.000Z
Lyon,tcl.fr,BA,0,Ce matin je prends la ficelle…,2019-12-26T10:30:10.000Z
Lyon,tcl.fr,Bad,1,,2021-11-12T21:58:53.000Z
Bordeaux,infotbm.com,Balbo,1,,2021-12-22T17:17:50.000Z
Paris,iledefrance-mobilites.fr,bambou zen,0,Trajet Arpajon/ porte Orléans,2019-12-07T09:25:57.000Z
Nice,lignesdazur.com,Barbara,0,Chauffeurs de bus irrespectueux,2019-08-13T16:31:41.000Z
Marseille,rtm.fr,BB,0,Apres cette succession de concerts au…,2019-06-03T08:30:50.000Z
Paris,ratp.fr,BC,0,Bus 95 pris dimanche 7 à Damrémont…,2019-12-08T15:40:51.000Z
Nice,lignesdazur.com,BD,0,Mettre la climatisation dans les…,2019-11-10T20:19:17.000Z
Paris,ratp.fr,BE,0,Je prends presque tous les jours le RER…,2019-12-19T09:26:28.000Z
Marseille,rtm.fr,beatrice bastiera,2,,2021-06-03T08:30:50.000Z
Marseille,rtm.fr,BELLE PROVENCE MINIBUS DELUXE,0,lignes 4 et 4B | 2 bus ne sont pas passés hier matin,2019-11-26T12:34:57.000Z
Paris,iledefrance-mobilites.fr,Ben Jean,0,Je valide les autres commentaires,2019-11-13T13:52:40.000Z
Lille,ilevia.fr,BENOIT gerald,1,,2021-11-07T21:22:03.000Z
Lyon,tcl.fr,Bertrand Atuyer,2,,2021-12-26T10:30:10.000Z
Montpellier,tam-voyages.com,Bertrand D,1,,2020-10-29T20:46:03.000Z
Paris,ratp.fr,Bey,1,,2021-12-19T09:26:28.000Z
Lille,ilevia.fr,Bezy,1,,2021-11-24T10:42:34.000Z
Lille,ilevia.fr,Billie,1,,2022-01-09T19:56:01.000Z
Paris,iledefrance-mobilites.fr,BL,0,,2019-05-06T19:20:28.000Z
Lille,ilevia.fr,Blondel,1,,2021-07-18T15:05:41.000Z
Montpellier,tam-voyages.com,bordes oriane,1,,2020-12-28T14:13:57.000Z
Lille,ilevia.fr,Bossuyt Loïc,1,,2021-09-16T17:31:15.000Z
Nice,lignesdazur.com,Boubacar DIALLO,5,,2021-11-10T20:19:17.000Z
Nice,lignesdazur.com,BOUBACARIFSI DIALLO,0,ES-ce que on peut enlever la ligne 81…,2019-11-09T18:27:20.000Z
Paris,ratp.fr,BR,0,Pass navigo dématérialisé,2019-12-01T16:20:19.000Z
Paris,ratp.fr,Bri Com,1,,2021-12-08T15:40:51.000Z
Paris,ratp.fr,Brieuc Langlois,0,Les tarifs des Tickets de métro et du…,2026-01-03T14:56:40.000Z
Bordeaux,infotbm.com,Brunet,1,,2021-11-12T10:37:04.000Z
Paris,ratp.fr,Bruno,1,,2021-12-01T16:20:19.000Z
Nice,lignesdazur.com,Bruno Vastra,0,attention très mauvais comportement des…,2019-10-23T14:37:05.000Z
Paris,iledefrance-mobilites.fr,BS,0,Une belle arnaque,2019-12-05T22:38:31.000Z
Paris,iledefrance-mobilites.fr,bsl,1,,2021-12-05T22:38:31.000Z
Paris,ratp.fr,Bullet Club,0,Aujourd’hui,2026-01-23T07:28:27.000Z
Paris,ratp.fr,Bérénice BOMEMA,0,Je souhaite signaler le comportement…,2026-01-22T23:24:58.000Z
Bordeaux,infotbm.com,C Eng,1,,2022-01-14T10:24:53.000Z
Lyon,tcl.fr,CA,0,Dysfontionnement répété titre TCL fête des lumières,2019-12-10T11:49:29.000Z
Marseille,rtm.fr,ca roule jerome,0,total mepris du Client honnete,2019-10-09T13:34:33.000Z
Lyon,tcl.fr,Camille,0,VOLEUR ET INCOMPETENT,2019-10-22T17:59:36.000Z
Paris,iledefrance-mobilites.fr,Camille Bc,0,,2019-06-30T11:50:29.000Z
Bordeaux,infotbm.com,Camille biche,3,,2021-06-25T12:21:46.000Z
Bordeaux,infotbm.com,Camille Morice,1,,2021-09-17T07:50:20.000Z
Nice,lignesdazur.com,CANTINELLI,2,,2021-03-23T17:43:31.000Z
Nice,lignesdazur.com,capacci,1,,2021-07-25T10:03:03.000Z
Paris,ratp.fr,Carine Oliveira,0,Je mets une étoile parce que je suis…,2019-12-11T15:49:33.000Z
Paris,ratp.fr,Carl Jaro,0,Vivement l'ouverture à la concurrence,2026-01-24T20:23:49.000Z
Paris,iledefrance-mobilites.fr,Carlos A.,0,Accueil station SaintPaul ligne 1,2026-01-07T20:09:54.000Z
Lyon,tcl.fr,Carlos ANTUNES,2,,2021-12-10T11:49:29.000Z
Lyon,tcl.fr,Caroline Gravina,0,Depuis combien de temps n’y a t’il pas…,2019-10-04T16:20:10.000Z
Nice,lignesdazur.com,Cassou,0,Devoir prendre 2 bus pour aller au…,2026-01-08T08:09:17.000Z
Lyon,tcl.fr,Catherine GILLES,1,,2021-09-17T15:48:19.000Z
Paris,iledefrance-mobilites.fr,CC,0,,2019-05-01T16:36:08.000Z
Paris,ratp.fr,CD,0,des voleurs,2019-12-03T15:33:49.000Z
Lyon,tcl.fr,CE,0,horaires de bus jamais respecté (12)…,2019-12-16T07:35:47.000Z
Marseille,rtm.fr,Cendrine CenOdysees Sawai Baum,1,,2021-05-01T09:15:36.000Z
Lyon,tcl.fr,cerqueira,1,,2021-12-16T07:35:47.000Z
Paris,ratp.fr,CH,0,Expérience catastrophique,2019-11-17T15:08:30.000Z
Montpellier,tam-voyages.com,chantal guigue,1,,2020-10-05T12:05:18.000Z
Montpellier,tam-voyages.com,Charline Azaubert,1,,2020-06-26T08:14:23.000Z
Nice,lignesdazur.com,Charlotte Maubert,0,Le bus 34 n’a ni Clim ni ventilateur (…,2019-07-01T12:21:04.000Z
Montpellier,tam-voyages.com,Chaïma Chaïma,1,,2021-08-02T17:13:57.000Z
Lille,ilevia.fr,Chaïmae Barakat,5,,2021-08-12T13:13:35.000Z
Marseille,rtm.fr,cherine mynawi,0,il y a clairement des conducteurs…,2026-01-30T10:19:31.000Z
Nice,lignesdazur.com,Chervaz V,1,,2021-02-18T12:43:14.000Z
Paris,ratp.fr,Chey,1,,2021-11-17T15:08:30.000Z
Paris,iledefrance-mobilites.fr,Chloe Bayemi,0,J'aurais souhaité donner 0 étoile pour…,2019-12-05T11:10:45.000Z
Marseille,rtm.fr,Chloé V,1,,2021-06-07T13:51:42.000Z
Marseille,rtm.fr,Choukri Dardouri,0,Le transport surtout le numéro 19 le…,2019-11-28T18:53:58.000Z
Lyon,tcl.fr,Chris,1,,2021-12-22T21:55:57.000Z
Marseille,rtm.fr,Christian Laloux,0,La ples transports en commun RTM régie marseillais l'un des plus sales de France ropreté dans les transports,2026-01-20T19:04:20.000Z
Paris,ratp.fr,Christian Loppe,1,,2022-01-12T19:12:42.000Z
Paris,iledefrance-mobilites.fr,Christian Pouchoux,0,L'application qui fait rater le train…,2026-01-27T21:51:44.000Z
Marseille,rtm.fr,Christian Tocquet,1,,2021-06-13T00:16:20.000Z
Paris,iledefrance-mobilites.fr,christian VG,1,,2021-11-23T01:36:04.000Z
Montpellier,tam-voyages.com,christiane herreng,1,,2021-11-06T08:18:13.000Z
Nice,lignesdazur.com,CHRISTINE,1,,2021-02-11T14:15:21.000Z
Paris,ratp.fr,Christine Dornic,0,Ligne bus 71,2019-11-23T14:02:24.000Z
Lille,ilevia.fr,Christophe Boulangé,1,,2021-07-04T11:00:04.000Z
Lyon,tcl.fr,Christophe Lemercier,0,Une catastrophe !!!!,2026-01-10T14:24:24.000Z
Paris,ratp.fr,Christopher B,0,RATP service exécrable,2019-11-24T08:57:59.000Z
Paris,iledefrance-mobilites.fr,cindy mamzer,1,,2021-09-30T15:11:48.000Z
Paris,iledefrance-mobilites.fr,CL,0,Application IDF mobilité fait n'importe quoi,2019-11-02T10:02:16.000Z
Marseille,rtm.fr,claire SANJUAN,0,Le bus 60 NotreDame de la Garde/Mucem…,2019-11-03T15:42:21.000Z
Nice,lignesdazur.com,claude angella,1,,2021-12-30T11:59:15.000Z
Lille,ilevia.fr,Clement MASCLEF,1,,2021-08-22T14:25:29.000Z
Lille,ilevia.fr,client,1,,2021-08-02T14:38:03.000Z
Paris,iledefrance-mobilites.fr,cliente,1,,2021-11-02T10:02:16.000Z
Paris,iledefrance-mobilites.fr,Clém B,0,,2019-03-20T19:55:15.000Z
Lyon,tcl.fr,Clémence Fournié,0,,2019-09-19T17:41:14.000Z
Lyon,tcl.fr,Clément Vallat,0,Le bus ligne 13 direction le palais sur…,2019-10-15T13:07:55.000Z
Paris,iledefrance-mobilites.fr,CO,0,Débit abusif avec Liberté +,2026-01-05T14:36:15.000Z
Montpellier,tam-voyages.com,coco lastico,1,,2022-01-14T15:16:30.000Z
Marseille,rtm.fr,Colaianni eric,0,Une porcherie,2019-06-29T15:01:16.000Z
Paris,iledefrance-mobilites.fr,Consumer,1,,2021-11-14T22:47:56.000Z
Lille,ilevia.fr,Coralie Bricout Escapado_draw,1,,2021-06-21T05:56:48.000Z
Lille,ilevia.fr,Coralie F,1,,2021-02-08T15:13:22.000Z
Lyon,tcl.fr,COTTET,1,,2021-12-18T21:27:30.000Z
Lyon,tcl.fr,CR,0,un service public ne devrait pas chercher à arnaquer les usagers,2019-11-15T08:51:15.000Z
Lyon,tcl.fr,CREUZEVAULT,1,,2021-11-15T08:51:15.000Z
Paris,iledefrance-mobilites.fr,CV,0,Attention Danger !,2019-11-23T01:36:04.000Z
Nice,lignesdazur.com,CY,0,Tram ligne 1,2026-01-12T12:12:42.000Z
Nice,lignesdazur.com,cychlo,1,,2022-01-12T12:12:42.000Z
Paris,iledefrance-mobilites.fr,cyrille lavalley,0,Carte en carton très fragile,2019-11-12T20:54:05.000Z
Nice,lignesdazur.com,CÉ,0,Ligne 90 à roquebilliere lundi 7…,2019-07-07T12:11:42.000Z
Nice,lignesdazur.com,Cédric,1,,2021-07-07T12:11:42.000Z
Paris,ratp.fr,Céline Desplanques,1,,2021-12-03T15:33:49.000Z
Montpellier,tam-voyages.com,Céline RONAT,4,,2020-03-28T07:35:21.000Z
Lille,ilevia.fr,D'HALLUIN,1,,2021-07-05T11:47:22.000Z
Paris,ratp.fr,D. K.,0,Par pitié n'allume pas le chauffage au…,2019-12-10T07:56:49.000Z
Paris,iledefrance-mobilites.fr,DA,0,Impossible de laisser une demande à IDF…,2019-12-01T09:50:52.000Z
Nice,lignesdazur.com,Dahya Kahina,1,,2021-01-22T11:59:57.000Z
Paris,ratp.fr,Damien,1,,2021-12-18T14:10:39.000Z
Nice,lignesdazur.com,Danafloky,1,,2021-08-18T15:14:18.000Z
Marseille,rtm.fr,Daniel,1,,2021-05-31T16:32:45.000Z
Marseille,rtm.fr,Danielle Andriamanantena,0,Du grand n'importe quoi,2019-10-04T17:03:38.000Z
Bordeaux,infotbm.com,DARBON,1,,2020-10-21T18:23:07.000Z
Montpellier,tam-voyages.com,Daria Davydova,1,,2021-06-17T20:25:27.000Z
Paris,iledefrance-mobilites.fr,Darklogan,1,,2021-12-01T09:50:52.000Z
Paris,iledefrance-mobilites.fr,David C,0,Attention pour la résiliation,2019-12-26T12:22:29.000Z
Lyon,tcl.fr,David Di Giovanni,1,,2021-10-05T19:24:14.000Z
Paris,ratp.fr,DB,0,,2019-10-23T18:05:35.000Z
Lyon,tcl.fr,DD,0,"1 sur 5, car je ne peux pas mettre 0!",2019-10-05T19:24:14.000Z
Paris,iledefrance-mobilites.fr,DE,0,Dommage qu'on ne puisse de pas donner zéro etoile,2019-11-22T19:56:43.000Z
Paris,iledefrance-mobilites.fr,Demer,1,,2021-11-22T19:56:43.000Z
Marseille,rtm.fr,Denis Gérault,3,,2021-04-02T12:41:23.000Z
Paris,iledefrance-mobilites.fr,DF,0,,2019-02-12T09:59:45.000Z
Paris,iledefrance-mobilites.fr,DI,0,Étant donné qu'il s'agit d'un service…,2026-01-28T02:29:21.000Z
Lyon,tcl.fr,Diabolo Framboise,0,,2019-08-23T08:15:51.000Z
Paris,ratp.fr,Didier Attaix,0,Service nul,2026-01-12T16:36:49.000Z
Paris,iledefrance-mobilites.fr,Didier L,0,Application la plus médiocre au monde,2026-01-04T23:19:20.000Z
Nice,lignesdazur.com,Didier LOUIS,2,,2021-07-04T14:29:41.000Z
Bordeaux,infotbm.com,Digital Monkey,1,,2021-11-01T15:07:08.000Z
Paris,ratp.fr,Dihia Slaim,0,Témoignage,2019-12-12T19:26:04.000Z
Paris,iledefrance-mobilites.fr,Dimeh,1,,2022-01-28T02:29:21.000Z
Nice,lignesdazur.com,Divanach,1,,2021-08-05T11:01:07.000Z
Marseille,rtm.fr,DJ,0,RTM – Ligne T3 : organisation catastrophique,2026-01-15T19:20:16.000Z
Lyon,tcl.fr,Dj Dj,0,Le bus 3001 du mercredi 22 octobre très…,2019-10-22T17:03:27.000Z
Marseille,rtm.fr,Djena,1,,2022-01-15T19:20:16.000Z
Nice,lignesdazur.com,DK,0,Service ligne 7 Ariane,2019-01-22T11:59:57.000Z
Nice,lignesdazur.com,DL,0,Changement de correspondance à l’Arenas,2019-07-04T14:29:41.000Z
Paris,ratp.fr,DO,0,Samedi vers 8h00,2019-12-06T09:07:38.000Z
Montpellier,tam-voyages.com,Dolly,1,,2021-01-16T18:24:38.000Z
Montpellier,tam-voyages.com,Dolores De Los Santos,1,,2021-04-10T04:07:11.000Z
Paris,ratp.fr,DomiLau,1,,2021-12-06T09:07:38.000Z
Marseille,rtm.fr,Dominique Antonini,0,Service client affligeant de médiocrité…,2019-08-22T11:03:44.000Z
Paris,iledefrance-mobilites.fr,Dora Essombe,0,Vous êtes le temps en retard vous…,2019-12-08T18:32:12.000Z
Lille,ilevia.fr,Dorane Sejean,1,,2021-06-18T16:47:51.000Z
Marseille,rtm.fr,DR,0,Pas fiable,2026-01-04T18:14:30.000Z
Paris,iledefrance-mobilites.fr,DreamCream,0,SCAN-DA-LEUX,2026-01-13T17:39:51.000Z
Marseille,rtm.fr,driss yahia,0,15s numéro 1268 direction la valentelle,2019-07-25T11:01:34.000Z
Marseille,rtm.fr,DrPhil,1,,2022-01-04T18:14:30.000Z
Lille,ilevia.fr,drui,1,,2021-05-06T12:30:11.000Z
Marseille,rtm.fr,DU,0,,2019-02-15T12:09:47.000Z
Lyon,tcl.fr,DUBOIS Jacqueline,1,,2021-12-08T11:04:17.000Z
Lille,ilevia.fr,Dubrulle Jean-francois,1,,2021-08-05T13:46:08.000Z
Marseille,rtm.fr,Duche,1,,2021-02-15T12:09:47.000Z
Paris,iledefrance-mobilites.fr,Duval Claire-Marie,0,Une horreur,2019-12-13T10:42:44.000Z
Nice,lignesdazur.com,DV,0,J’ai raté mon bus à cause du chauffeur…,2019-12-15T14:18:45.000Z
Nice,lignesdazur.com,Déniss Voion,1,,2021-12-15T14:18:45.000Z
Paris,ratp.fr,EB,0,,2019-04-23T00:47:29.000Z
Marseille,rtm.fr,EC,0,Mon amie et moi nous attendions le bus…p,2019-06-23T23:50:44.000Z
Lyon,tcl.fr,Eda Guler,0,Remettez TCL live s’il vous plaît !,2026-01-19T08:44:30.000Z
Lyon,tcl.fr,Edith Koffi,1,,2021-10-04T10:23:18.000Z
Nice,lignesdazur.com,EG,0,Impossible de recharger ma carte sur…,2019-10-31T14:36:56.000Z
Marseille,rtm.fr,EL,0,Comportement inadmissible,2026-01-13T13:09:57.000Z
Nice,lignesdazur.com,elaa zammit,0,Le bus numéro 57 N’EST JAMAIS À L’HEURE…,2019-05-20T17:15:26.000Z
Nice,lignesdazur.com,Elena Marche,0,La climatisation,2019-04-04T13:50:49.000Z
Lyon,tcl.fr,eliott marconnet,0,Service à la demande,2019-11-26T01:12:06.000Z
Lille,ilevia.fr,Elisa D.,1,,2021-09-08T11:32:47.000Z
Nice,lignesdazur.com,Elisabeth,1,,2021-06-16T17:34:54.000Z
Lyon,tcl.fr,elise herman,0,,2019-09-15T07:52:35.000Z
Marseille,rtm.fr,Elodie,1,,2022-01-13T13:09:57.000Z
Paris,ratp.fr,Elpha_angel Jsp,1,,2021-11-17T10:01:08.000Z
Marseille,rtm.fr,Elsa Cuzin,1,,2021-06-23T23:50:44.000Z
Paris,iledefrance-mobilites.fr,EM,0,Application qui ne fonctionne jamais,2019-11-08T13:17:18.000Z
Nice,lignesdazur.com,emilie,1,,2021-01-03T12:14:26.000Z
Lyon,tcl.fr,emilie sotton,0,Incompétence persistante sur le réseau…,2026-01-06T09:00:48.000Z
Lyon,tcl.fr,Emilie THOR,0,Bonjour,2026-01-16T08:28:41.000Z
Lyon,tcl.fr,Emilien “Spawn” Wigenhauser,0,Lyon fête des lumières et comme tu les…,2019-12-09T12:58:41.000Z
Montpellier,tam-voyages.com,Emma,1,,2020-07-18T21:42:29.000Z
Nice,lignesdazur.com,Emma Gouin,1,,2021-10-31T14:36:56.000Z
Paris,iledefrance-mobilites.fr,Emma NAHAYO,1,,2021-09-08T20:47:55.000Z
Lille,ilevia.fr,Emmanuelle Dautret,1,,2021-09-08T18:38:14.000Z
Paris,iledefrance-mobilites.fr,EN,0,,2019-09-08T20:47:55.000Z
Lyon,tcl.fr,eric pesenti Riccopat,0,Ascenseurs,2019-12-21T18:30:20.000Z
Lyon,tcl.fr,ES,0,C200 direction Lyon st ex,2019-11-15T18:47:07.000Z
Marseille,rtm.fr,Esmira Hasanova,0,Manqué un bus/2 entre 12h-15h BUS 144 et 2,2019-09-20T14:16:32.000Z
Paris,iledefrance-mobilites.fr,Esteban Araujo,0,c'est quoi ce site de caca on trouve…,2019-12-10T22:07:12.000Z
Lyon,tcl.fr,ESTIENNE,1,,2021-11-15T18:47:07.000Z
Lyon,tcl.fr,Etienne Mrowka,0,Nazes,2026-01-23T11:50:47.000Z
Marseille,rtm.fr,Eugénie BOLOMEY,0,On a du attendre 30 minutes,2019-08-23T00:02:30.000Z
Paris,iledefrance-mobilites.fr,Eva Mirande,1,,2021-11-08T13:17:18.000Z
Paris,iledefrance-mobilites.fr,Evans Abbam,0,Insatisfaction totale,2019-12-20T22:38:02.000Z
Lyon,tcl.fr,FA,0,,2019-09-02T08:48:29.000Z
Montpellier,tam-voyages.com,Fab,1,,2021-06-03T10:01:53.000Z
Paris,ratp.fr,Fabien Derinck,1,,2021-11-25T10:31:37.000Z
Montpellier,tam-voyages.com,fabienne pardo,1,,2020-08-26T08:04:41.000Z
Lille,ilevia.fr,Fanny,1,,2021-07-29T18:31:20.000Z
Paris,ratp.fr,Fatima BENARBIA,0,Aujourd'hui je suis montée dans le bus…,2026-01-30T15:53:39.000Z
Lyon,tcl.fr,Fatima Galiano,0,Hier vers 16h45 au niveau du 25 cours…,2019-11-13T11:04:34.000Z
Paris,ratp.fr,FB,0,,2019-05-07T06:44:54.000Z
Paris,ratp.fr,FD,0,Encore une magnifique expérience avec…,2019-11-25T10:31:37.000Z
Lille,ilevia.fr,Fer Dkr,1,,2021-09-10T10:39:48.000Z
Paris,ratp.fr,FL,0,Achat de deux billets via l’option « un…,2019-12-26T21:33:52.000Z
Marseille,rtm.fr,Fl Bernard,0,Aucune ponctualité surtout la ligne 72…,2019-08-20T07:34:46.000Z
Lyon,tcl.fr,Flavie fou,0,,2019-03-20T11:24:15.000Z
Marseille,rtm.fr,Florent Majeric,0,Climats de violence sur la ligne 31,2019-07-15T14:10:25.000Z
Paris,ratp.fr,Flyerfred,1,,2021-12-26T21:33:52.000Z
Marseille,rtm.fr,FM,0,Plusieurs lignes…,2019-07-25T07:51:49.000Z
Marseille,rtm.fr,Fornes Muezas,2,,2021-07-25T07:51:49.000Z
Montpellier,tam-voyages.com,Francis,1,,2021-10-30T16:32:32.000Z
Lille,ilevia.fr,franck,1,,2021-06-25T09:22:24.000Z
Lyon,tcl.fr,Françoise D,0,,2019-04-02T09:57:09.000Z
Lille,ilevia.fr,Fred,1,,2021-07-25T03:58:01.000Z
Paris,ratp.fr,FS,0,,2019-06-12T12:01:10.000Z
Paris,iledefrance-mobilites.fr,GA,0,Impossible de se connecter sur le site…,2019-12-17T10:52:13.000Z
Marseille,rtm.fr,Gabriel Thauront,0,Service inexistant,2019-09-04T09:36:42.000Z
Lyon,tcl.fr,Gaetan,2,,2021-11-20T10:23:51.000Z
Paris,iledefrance-mobilites.fr,Gal,1,,2021-12-17T10:52:13.000Z
Lille,ilevia.fr,Gauliris,2,,2021-12-12T10:36:52.000Z
Paris,ratp.fr,GH,0,Amende injustifiée malgré validation- Expérience désastreuse,2019-12-10T08:29:44.000Z
Paris,ratp.fr,Ghislaine H,1,,2021-12-10T08:29:44.000Z
Lyon,tcl.fr,Gilles Beignard,0,Une catastrophe !!,2019-11-19T00:43:29.000Z
Paris,iledefrance-mobilites.fr,GO,0,J'essaie d'utiliser Navigo liberte plus…,2019-12-24T10:21:46.000Z
Paris,iledefrance-mobilites.fr,GORKE_tv,1,,2021-12-24T10:21:46.000Z
Paris,iledefrance-mobilites.fr,GR,0,,2019-06-19T15:41:21.000Z
Paris,iledefrance-mobilites.fr,Greg Bstt,0,D'une nullité abyssale,2019-12-03T15:24:08.000Z
Paris,iledefrance-mobilites.fr,Grelu Frédéric,1,,2022-01-15T18:03:48.000Z
Marseille,rtm.fr,Guillaume Feliciano,0,"Ligne 63 ""Nawel""",2019-10-21T20:47:48.000Z
Paris,iledefrance-mobilites.fr,HA,0,FExpérience totalement inadmissible.orfait mensuel acheté et payé via…,2026-01-08T17:24:57.000Z
Lille,ilevia.fr,Halim,1,,2021-01-27T13:06:52.000Z
Paris,iledefrance-mobilites.fr,Ham,1,,2022-01-08T17:24:57.000Z
Montpellier,tam-voyages.com,Hamon,3,,2021-07-03T12:51:04.000Z
Paris,ratp.fr,HE,0,,2019-02-24T14:28:08.000Z
Paris,ratp.fr,hehey b,0,Une organisation très mal gérée,2019-12-12T23:12:53.000Z
Lille,ilevia.fr,Helen,1,,2021-08-01T13:03:45.000Z
Nice,lignesdazur.com,Hendrysiak Sylvie,1,,2021-06-01T10:44:16.000Z
Lyon,tcl.fr,Henriette Gouverneur,1,,2021-12-23T19:03:54.000Z
Lyon,tcl.fr,Hervé Bourgey,0,,2019-04-16T08:16:32.000Z
Lyon,tcl.fr,HG,0,Je suis allé avec mon petit fils…,2019-12-23T19:03:54.000Z
Marseille,rtm.fr,HO,0,Il y a un vrai problème sur le tramway…,2019-08-24T17:26:35.000Z
Montpellier,tam-voyages.com,hoarau valerie,1,,2021-01-12T22:30:51.000Z
