"fact_impact_sk","time_sk","zone_sk","mode_sk","weather_sk","event_sk","energie_kwh","co2_kg","pm25","no2","aqi_index","nb_accidents","nb_graves","nb_mortels","usagers_vulnerables","volume_crimes","taux_criminalite","bak_co2_kg","bak_nb_mortels","bak_volume_crimes","bak_aqi_index","bak_taux_criminalite","bak_pm25","bak_no2","bak_zone_sk","bak_mode_sk","bak_event_sk"
"17","1","1","6","210385","0","44.1067","118.206","18.625","40.7","31.25","0","0","0","0","23","1.353","118.206","0","23","31.25","1.353","18.625","40.7","1","0","0"
"18","1","1","6","245449","0","44.1067","118.206","18.625","40.7","31.25","0","0","0","0","23","1.353","118.206","0","23","31.25","1.353","18.625","40.7","1","0","0"
"19","1","1","6","280513","0","44.1067","118.206","18.625","40.7","31.25","0","0","0","0","23","1.353","118.206","0","23","31.25","1.353","18.625","40.7","1","0","0"
"20","1","1","6","315577","0","44.1067","118.206","18.625","40.7","31.25","0","0","0","0","23","1.353","118.206","0","23","31.25","1.353","18.625","40.7","1","0","0"
"21","1","1","3","1","0","66.072","3.304","18.625","40.7","31.25","0","0","0","0","23","1.353","3.304","0","23","31.25","1.353","18.625","40.7","1","3","0"
"22","1","1","3","35065","0","66.072","3.304","18.625","40.7","31.25","0","0","0","0","23","1.353","3.304","0","23","31.25","1.353","18.625","40.7","1","3","0"
"23","1","1","3","70129","0","66.072","3.304","18.625","40.7","31.25","0","0","0","0","23","1.353","3.304","0","23","31.25","1.353","18.625","40.7","1","3","0"
"24","1","1","3","105193","0","66.072","3.304","18.625","40.7","31.25","0","0","0","0","23","1.353","3.304","0","23","31.25","1.353","18.625","40.7","1","3","0"
"25","1","1","3","140257","0","66.072","3.304","18.625","40.7","31.25","0","0","0","0","23","1.353","3.304","0","23","31.25","1.353","18.625","40.7","1","3","0"
"26","1","1","3","175321","0","66.072","3.304","18.625","40.7","31.25","0","0","0","0","23","1.353","3.304","0","23","31.25","1.353","18.625","40.7","1","3","0"
"27","1","1","3","210385","0","66.072","3.304","18.625","40.7","31.25","0","0","0","0","23","1.353","3.304","0","23","31.25","1.353","18.625","40.7","1","3","0"
"28","1","1","3","245449","0","66.072","3.304","18.625","40.7","31.25","0","0","0","0","23","1.353","3.304","0","23","31.25","1.353","18.625","40.7","1","3","0"
"29","1","1","3","280513","0","66.072","3.304","18.625","40.7","31.25","0","0","0","0","23","1.353","3.304","0","23","31.25","1.353","18.625","40.7","1","3","0"
"30","1","1","3","315577","0","66.072","3.304","18.625","40.7","31.25","0","0","0","0","23","1.353","3.304","0","23","31.25","1.353","18.625","40.7","1","3","0"
"31","1","1","5","1","0","78.361","3.918","18.625","40.7","31.25","0","0","0","0","23","1.353","3.918","0","23","31.25","1.353","18.625","40.7","1","5","0"
"32","1","1","5","35065","0","78.361","3.918","18.625","40.7","31.25","0","0","0","0","23","1.353","3.918","0","23","31.25","1.353","18.625","40.7","1","5","0"
"33","1","1","5","70129","0","78.361","3.918","18.625","40.7","31.25","0","0","0","0","23","1.353","3.918","0","23","31.25","1.353","18.625","40.7","1","5","0"
"34","1","1","5","105193","0","78.361","3.918","18.625","40.7","31.25","0","0","0","0","23","1.353","3.918","0","23","31.25","1.353","18.625","40.7","1","5","0"
"35","1","1","5","140257","0","78.361","3.918","18.625","40.7","31.25","0","0","0","0","23","1.353","3.918","0","23","31.25","1.353","18.625","40.7","1","5","0"
"36","1","1","5","175321","0","78.361","3.918","18.625","40.7","31.25","0","0","0","0","23","1.353","3.918","0","23","31.25","1.353","18.625","40.7","1","5","0"
"37","1","1","5","210385","0","78.361","3.918","18.625","40.7","31.25","0","0","0","0","23","1.353","3.918","0","23","31.25","1.353","18.625","40.7","1","5","0"
"38","1","1","5","245449","0","78.361","3.918","18.625","40.7","31.25","0","0","0","0","23","1.353","3.918","0","23","31.25","1.353","18.625","40.7","1","5","0"
"39","1","1","5","280513","0","78.361","3.918","18.625","40.7","31.25","0","0","0","0","23","1.353","3.918","0","23","31.25","1.353","18.625","40.7","1","5","0"
"40","1","1","5","315577","0","78.361","3.918","18.625","40.7","31.25","0","0","0","0","23","1.353","3.918","0","23","31.25","1.353","18.625","40.7","1","5","0"
"41","1","2","2","1","0","153.384","411.069","13.6683","42.0833","26.953","0","0","0","0","28","0.933","411.069","0","28","26.953","0.933","13.6683","42.0833","2","2","0"
"42","1","2","2","35065","0","153.384","411.069","13.6683","42.0833","26.953","0","0","0","0","28","0.933","411.069","0","28","26.953","0.933","13.6683","42.0833","2","2","0"
"43","1","2","2","70129","0","153.384","411.069","13.6683","42.0833","26.953","0","0","0","0","28","0.933","411.069","0","28","26.953","0.933","13.6683","42.0833","2","2","0"
"44","1","2","2","105193","0","153.384","411.069","13.6683","42.0833","26.953","0","0","0","0","28","0.933","411.069","0","28","26.953","0.933","13.6683","42.0833","2","2","0"
"45","1","2","2","140257","0","153.384","411.069","13.6683","42.0833","26.953","0","0","0","0","28","0.933","411.069","0","28","26.953","0.933","13.6683","42.0833","2","2","0"
"46","1","2","2","175321","0","153.384","411.069","13.6683","42.0833","26.953","0","0","0","0","28","0.933","411.069","0","28","26.953","0.933","13.6683","42.0833","2","2","0"
"47","1","2","2","210385","0","153.384","411.069","13.6683","42.0833","26.953","0","0","0","0","28","0.933","411.069","0","28","26.953","0.933","13.6683","42.0833","2","2","0"
"48","1","2","2","245449","0","153.384","411.069","13.6683","42.0833","26.953","0","0","0","0","28","0.933","411.069","0","28","26.953","0.933","13.6683","42.0833","2","2","0"
"49","1","2","2","280513","0","153.384","411.069","13.6683","42.0833","26.953","0","0","0","0","28","0.933","411.069","0","28","26.953","0.933","13.6683","42.0833","2","2","0"
"50","1","2","2","315577","0","153.384","411.069","13.6683","42.0833","26.953","0","0","0","0","28","0.933","411.069","0","28","26.953","0.933","13.6683","42.0833","2","2","0"
"51","1","2","6","1","0","23.9093","64.077","13.6683","42.0833","26.953","0","0","0","0","28","0.933","64.077","0","28","26.953","0.933","13.6683","42.0833","2","0","0"
"52","1","2","6","35065","0","23.9093","64.077","13.6683","42.0833","26.953","0","0","0","0","28","0.933","64.077","0","28","26.953","0.933","13.6683","42.0833","2","0","0"
"53","1","2","6","70129","0","23.9093","64.077","13.6683","42.0833","26.953","0","0","0","0","28","0.933","64.077","0","28","26.953","0.933","13.6683","42.0833","2","0","0"
"54","1","2","6","105193","0","23.9093","64.077","13.6683","42.0833","26.953","0","0","0","0","28","0.933","64.077","0","28","26.953","0.933","13.6683","42.0833","2","0","0"
"55","1","2","6","140257","0","23.9093","64.077","13.6683","42.0833","26.953","0","0","0","0","28","0.933","64.077","0","28","26.953","0.933","13.6683","42.0833","2","0","0"
"56","1","2","6","175321","0","23.9093","64.077","13.6683","42.0833","26.953","0","0","0","0","28","0.933","64.077","0","28","26.953","0.933","13.6683","42.0833","2","0","0"
"57","1","2","6","210385","0","23.9093","64.077","13.6683","42.0833","26.953","0","0","0","0","28","0.933","64.077","0","28","26.953","0.933","13.6683","42.0833","2","0","0"
"58","1","2","6","245449","0","23.9093","64.077","13.6683","42.0833","26.953","0","0","0","0","28","0.933","64.077","0","28","26.953","0.933","13.6683","42.0833","2","0","0"
"59","1","2","6","280513","0","23.9093","64.077","13.6683","42.0833","26.953","0","0","0","0","28","0.933","64.077","0","28","26.953","0.933","13.6683","42.0833","2","0","0"
"60","1","2","6","315577","0","23.9093","64.077","13.6683","42.0833","26.953","0","0","0","0","28","0.933","64.077","0","28","26.953","0.933","13.6683","42.0833","2","0","0"
"61","1","2","3","1","0","59.8933","2.995","13.6683","42.0833","26.953","0","0","0","0","28","0.933","2.995","0","28","26.953","0.933","13.6683","42.0833","2","3","0"
"62","1","2","3","35065","0","59.8933","2.995","13.6683","42.0833","26.953","0","0","0","0","28","0.933","2.995","0","28","26.953","0.933","13.6683","42.0833","2","3","0"
"63","1","2","3","70129","0","59.8933","2.995","13.6683","42.0833","26.953","0","0","0","0","28","0.933","2.995","0","28","26.953","0.933","13.6683","42.0833","2","3","0"
"64","1","2","3","105193","0","59.8933","2.995","13.6683","42.0833","26.953","0","0","0","0","28","0.933","2.995","0","28","26.953","0.933","13.6683","42.0833","2","3","0"
"65","1","2","3","140257","0","59.8933","2.995","13.6683","42.0833","26.953","0","0","0","0","28","0.933","2.995","0","28","26.953","0.933","13.6683","42.0833","2","3","0"
"66","1","2","3","175321","0","59.8933","2.995","13.6683","42.0833","26.953","0","0","0","0","28","0.933","2.995","0","28","26.953","0.933","13.6683","42.0833","2","3","0"
"67","1","2","3","210385","0","59.8933","2.995","13.6683","42.0833","26.953","0","0","0","0","28","0.933","2.995","0","28","26.953","0.933","13.6683","42.0833","2","3","0"
"68","1","2","3","245449","0","59.8933","2.995","13.6683","42.0833","26.953","0","0","0","0","28","0.933","2.995","0","28","26.953","0.933","13.6683","42.0833","2","3","0"
"69","1","2","3","280513","0","59.8933","2.995","13.6683","42.0833","26.953","0","0","0","0","28","0.933","2.995","0","28","26.953","0.933","13.6683","42.0833","2","3","0"
"70","1","2","3","315577","0","59.8933","2.995","13.6683","42.0833","26.953","0","0","0","0","28","0.933","2.995","0","28","26.953","0.933","13.6683","42.0833","2","3","0"
"71","1","2","5","1","0","77.795","3.89","13.6683","42.0833","26.953","0","0","0","0","28","0.933","3.89","0","28","26.953","0.933","13.6683","42.0833","2","5","0"
"72","1","2","5","35065","0","77.795","3.89","13.6683","42.0833","26.953","0","0","0","0","28","0.933","3.89","0","28","26.953","0.933","13.6683","42.0833","2","5","0"
"73","1","2","5","70129","0","77.795","3.89","13.6683","42.0833","26.953","0","0","0","0","28","0.933","3.89","0","28","26.953","0.933","13.6683","42.0833","2","5","0"
"74","1","2","5","105193","0","77.795","3.89","13.6683","42.0833","26.953","0","0","0","0","28","0.933","3.89","0","28","26.953","0.933","13.6683","42.0833","2","5","0"
"75","1","2","5","140257","0","77.795","3.89","13.6683","42.0833","26.953","0","0","0","0","28","0.933","3.89","0","28","26.953","0.933","13.6683","42.0833","2","5","0"
"76","1","2","5","175321","0","77.795","3.89","13.6683","42.0833","26.953","0","0","0","0","28","0.933","3.89","0","28","26.953","0.933","13.6683","42.0833","2","5","0"
"77","1","2","5","210385","0","77.795","3.89","13.6683","42.0833","26.953","0","0","0","0","28","0.933","3.89","0","28","26.953","0.933","13.6683","42.0833","2","5","0"
"78","1","2","5","245449","0","77.795","3.89","13.6683","42.0833","26.953","0","0","0","0","28","0.933","3.89","0","28","26.953","0.933","13.6683","42.0833","2","5","0"
"79","1","2","5","280513","0","77.795","3.89","13.6683","42.0833","26.953","0","0","0","0","28","0.933","3.89","0","28","26.953","0.933","13.6683","42.0833","2","5","0"
"80","1","2","5","315577","0","77.795","3.89","13.6683","42.0833","26.953","0","0","0","0","28","0.933","3.89","0","28","26.953","0.933","13.6683","42.0833","2","5","0"
"81","1","3","2","1","0","1349.79","67.514","17.3414","35.7122","21.932","0","0","0","0","32","0.821","67.514","0","32","21.932","0.821","17.3414","35.7122","3","2","0"
"82","1","3","2","35065","0","1349.79","67.514","17.3414","35.7122","21.932","0","0","0","0","32","0.821","67.514","0","32","21.932","0.821","17.3414","35.7122","3","2","0"
"83","1","3","2","70129","0","1349.79","67.514","17.3414","35.7122","21.932","0","0","0","0","32","0.821","67.514","0","32","21.932","0.821","17.3414","35.7122","3","2","0"
"84","1","3","2","105193","0","1349.79","67.514","17.3414","35.7122","21.932","0","0","0","0","32","0.821","67.514","0","32","21.932","0.821","17.3414","35.7122","3","2","0"
"85","1","3","2","140257","0","1349.79","67.514","17.3414","35.7122","21.932","0","0","0","0","32","0.821","67.514","0","32","21.932","0.821","17.3414","35.7122","3","2","0"
"86","1","3","2","175321","0","1349.79","67.514","17.3414","35.7122","21.932","0","0","0","0","32","0.821","67.514","0","32","21.932","0.821","17.3414","35.7122","3","2","0"
"87","1","3","2","210385","0","1349.79","67.514","17.3414","35.7122","21.932","0","0","0","0","32","0.821","67.514","0","32","21.932","0.821","17.3414","35.7122","3","2","0"
"88","1","3","2","245449","0","1349.79","67.514","17.3414","35.7122","21.932","0","0","0","0","32","0.821","67.514","0","32","21.932","0.821","17.3414","35.7122","3","2","0"
"89","1","3","2","280513","0","1349.79","67.514","17.3414","35.7122","21.932","0","0","0","0","32","0.821","67.514","0","32","21.932","0.821","17.3414","35.7122","3","2","0"
"90","1","3","2","315577","0","1349.79","67.514","17.3414","35.7122","21.932","0","0","0","0","32","0.821","67.514","0","32","21.932","0.821","17.3414","35.7122","3","2","0"
"91","1","3","6","1","0","21.2453","56.937","17.3414","35.7122","21.932","0","0","0","0","32","0.821","56.937","0","32","21.932","0.821","17.3414","35.7122","3","0","0"
"92","1","3","6","35065","0","21.2453","56.937","17.3414","35.7122","21.932","0","0","0","0","32","0.821","56.937","0","32","21.932","0.821","17.3414","35.7122","3","0","0"
"93","1","3","6","70129","0","21.2453","56.937","17.3414","35.7122","21.932","0","0","0","0","32","0.821","56.937","0","32","21.932","0.821","17.3414","35.7122","3","0","0"
"94","1","3","6","105193","0","21.2453","56.937","17.3414","35.7122","21.932","0","0","0","0","32","0.821","56.937","0","32","21.932","0.821","17.3414","35.7122","3","0","0"
"95","1","3","6","140257","0","21.2453","56.937","17.3414","35.7122","21.932","0","0","0","0","32","0.821","56.937","0","32","21.932","0.821","17.3414","35.7122","3","0","0"
"96","1","3","6","175321","0","21.2453","56.937","17.3414","35.7122","21.932","0","0","0","0","32","0.821","56.937","0","32","21.932","0.821","17.3414","35.7122","3","0","0"
"97","1","3","6","210385","0","21.2453","56.937","17.3414","35.7122","21.932","0","0","0","0","32","0.821","56.937","0","32","21.932","0.821","17.3414","35.7122","3","0","0"
"98","1","3","6","245449","0","21.2453","56.937","17.3414","35.7122","21.932","0","0","0","0","32","0.821","56.937","0","32","21.932","0.821","17.3414","35.7122","3","0","0"
"99","1","3","6","280513","0","21.2453","56.937","17.3414","35.7122","21.932","0","0","0","0","32","0.821","56.937","0","32","21.932","0.821","17.3414","35.7122","3","0","0"
"100","1","3","6","315577","0","21.2453","56.937","17.3414","35.7122","21.932","0","0","0","0","32","0.821","56.937","0","32","21.932","0.821","17.3414","35.7122","3","0","0"
"101","1","3","3","1","0","132.659","6.633","17.3414","35.7122","21.932","0","0","0","0","32","0.821","6.633","0","32","21.932","0.821","17.3414","35.7122","3","3","0"
"102","1","3","3","35065","0","132.659","6.633","17.3414","35.7122","21.932","0","0","0","0","32","0.821","6.633","0","32","21.932","0.821","17.3414","35.7122","3","3","0"
"103","1","3","3","70129","0","132.659","6.633","17.3414","35.7122","21.932","0","0","0","0","32","0.821","6.633","0","32","21.932","0.821","17.3414","35.7122","3","3","0"
"104","1","3","3","105193","0","132.659","6.633","17.3414","35.7122","21.932","0","0","0","0","32","0.821","6.633","0","32","21.932","0.821","17.3414","35.7122","3","3","0"
"105","1","3","3","140257","0","132.659","6.633","17.3414","35.7122","21.932","0","0","0","0","32","0.821","6.633","0","32","21.932","0.821","17.3414","35.7122","3","3","0"
"106","1","3","3","175321","0","132.659","6.633","17.3414","35.7122","21.932","0","0","0","0","32","0.821","6.633","0","32","21.932","0.821","17.3414","35.7122","3","3","0"
"107","1","3","3","210385","0","132.659","6.633","17.3414","35.7122","21.932","0","0","0","0","32","0.821","6.633","0","32","21.932","0.821","17.3414","35.7122","3","3","0"
"108","1","3","3","245449","0","132.659","6.633","17.3414","35.7122","21.932","0","0","0","0","32","0.821","6.633","0","32","21.932","0.821","17.3414","35.7122","3","3","0"
"109","1","3","3","280513","0","132.659","6.633","17.3414","35.7122","21.932","0","0","0","0","32","0.821","6.633","0","32","21.932","0.821","17.3414","35.7122","3","3","0"
"110","1","3","3","315577","0","132.659","6.633","17.3414","35.7122","21.932","0","0","0","0","32","0.821","6.633","0","32","21.932","0.821","17.3414","35.7122","3","3","0"
"111","1","3","5","1","0","20.458","1.023","17.3414","35.7122","21.932","0","0","0","0","32","0.821","1.023","0","32","21.932","0.821","17.3414","35.7122","3","5","0"
"112","1","3","5","35065","0","20.458","1.023","17.3414","35.7122","21.932","0","0","0","0","32","0.821","1.023","0","32","21.932","0.821","17.3414","35.7122","3","5","0"
"113","1","3","5","70129","0","20.458","1.023","17.3414","35.7122","21.932","0","0","0","0","32","0.821","1.023","0","32","21.932","0.821","17.3414","35.7122","3","5","0"
"114","1","3","5","105193","0","20.458","1.023","17.3414","35.7122","21.932","0","0","0","0","32","0.821","1.023","0","32","21.932","0.821","17.3414","35.7122","3","5","0"
"115","1","3","5","140257","0","20.458","1.023","17.3414","35.7122","21.932","0","0","0","0","32","0.821","1.023","0","32","21.932","0.821","17.3414","35.7122","3","5","0"
"116","1","3","5","175321","0","20.458","1.023","17.3414","35.7122","21.932","0","0","0","0","32","0.821","1.023","0","32","21.932","0.821","17.3414","35.7122","3","5","0"
"117","1","3","5","210385","0","20.458","1.023","17.3414","35.7122","21.932","0","0","0","0","32","0.821","1.023","0","32","21.932","0.821","17.3414","35.7122","3","5","0"
"118","1","3","5","245449","0","20.458","1.023","17.3414","35.7122","21.932","0","0","0","0","32","0.821","1.023","0","32","21.932","0.821","17.3414","35.7122","3","5","0"
"119","1","3","5","280513","0","20.458","1.023","17.3414","35.7122","21.932","0","0","0","0","32","0.821","1.023","0","32","21.932","0.821","17.3414","35.7122","3","5","0"
"120","1","3","5","315577","0","20.458","1.023","17.3414","35.7122","21.932","0","0","0","0","32","0.821","1.023","0","32","21.932","0.821","17.3414","35.7122","3","5","0"
"121","1","4","2","1","0","177.224","474.96","12.2633","37.445","24.827","0","0","0","0","29","1.381","474.96","0","29","24.827","1.381","12.2633","37.445","4","2","0"
"122","1","4","2","35065","0","177.224","474.96","12.2633","37.445","24.827","0","0","0","0","29","1.381","474.96","0","29","24.827","1.381","12.2633","37.445","4","2","0"
"123","1","4","2","70129","0","177.224","474.96","12.2633","37.445","24.827","0","0","0","0","29","1.381","474.96","0","29","24.827","1.381","12.2633","37.445","4","2","0"
"124","1","4","2","105193","0","177.224","474.96","12.2633","37.445","24.827","0","0","0","0","29","1.381","474.96","0","29","24.827","1.381","12.2633","37.445","4","2","0"
"125","1","4","2","140257","0","177.224","474.96","12.2633","37.445","24.827","0","0","0","0","29","1.381","474.96","0","29","24.827","1.381","12.2633","37.445","4","2","0"
"126","1","4","2","175321","0","177.224","474.96","12.2633","37.445","24.827","0","0","0","0","29","1.381","474.96","0","29","24.827","1.381","12.2633","37.445","4","2","0"
"127","1","4","2","210385","0","177.224","474.96","12.2633","37.445","24.827","0","0","0","0","29","1.381","474.96","0","29","24.827","1.381","12.2633","37.445","4","2","0"
"128","1","4","2","245449","0","177.224","474.96","12.2633","37.445","24.827","0","0","0","0","29","1.381","474.96","0","29","24.827","1.381","12.2633","37.445","4","2","0"
"129","1","4","2","280513","0","177.224","474.96","12.2633","37.445","24.827","0","0","0","0","29","1.381","474.96","0","29","24.827","1.381","12.2633","37.445","4","2","0"
"130","1","4","2","315577","0","177.224","474.96","12.2633","37.445","24.827","0","0","0","0","29","1.381","474.96","0","29","24.827","1.381","12.2633","37.445","4","2","0"
"131","1","4","6","1","0","52.6573","141.122","12.2633","37.445","24.827","0","0","0","0","29","1.381","141.122","0","29","24.827","1.381","12.2633","37.445","4","0","0"
"132","1","4","6","35065","0","52.6573","141.122","12.2633","37.445","24.827","0","0","0","0","29","1.381","141.122","0","29","24.827","1.381","12.2633","37.445","4","0","0"
"133","1","4","6","70129","0","52.6573","141.122","12.2633","37.445","24.827","0","0","0","0","29","1.381","141.122","0","29","24.827","1.381","12.2633","37.445","4","0","0"
"134","1","4","6","105193","0","52.6573","141.122","12.2633","37.445","24.827","0","0","0","0","29","1.381","141.122","0","29","24.827","1.381","12.2633","37.445","4","0","0"
"135","1","4","6","140257","0","52.6573","141.122","12.2633","37.445","24.827","0","0","0","0","29","1.381","141.122","0","29","24.827","1.381","12.2633","37.445","4","0","0"
"136","1","4","6","175321","0","52.6573","141.122","12.2633","37.445","24.827","0","0","0","0","29","1.381","141.122","0","29","24.827","1.381","12.2633","37.445","4","0","0"
"137","1","4","6","210385","0","52.6573","141.122","12.2633","37.445","24.827","0","0","0","0","29","1.381","141.122","0","29","24.827","1.381","12.2633","37.445","4","0","0"
"138","1","4","6","245449","0","52.6573","141.122","12.2633","37.445","24.827","0","0","0","0","29","1.381","141.122","0","29","24.827","1.381","12.2633","37.445","4","0","0"
"139","1","4","6","280513","0","52.6573","141.122","12.2633","37.445","24.827","0","0","0","0","29","1.381","141.122","0","29","24.827","1.381","12.2633","37.445","4","0","0"
"140","1","4","6","315577","0","52.6573","141.122","12.2633","37.445","24.827","0","0","0","0","29","1.381","141.122","0","29","24.827","1.381","12.2633","37.445","4","0","0"
"141","1","4","3","1","0","93.6653","4.683","12.2633","37.445","24.827","0","0","0","0","29","1.381","4.683","0","29","24.827","1.381","12.2633","37.445","4","3","0"
"142","1","4","3","35065","0","93.6653","4.683","12.2633","37.445","24.827","0","0","0","0","29","1.381","4.683","0","29","24.827","1.381","12.2633","37.445","4","3","0"
"143","1","4","3","70129","0","93.6653","4.683","12.2633","37.445","24.827","0","0","0","0","29","1.381","4.683","0","29","24.827","1.381","12.2633","37.445","4","3","0"
"144","1","4","3","105193","0","93.6653","4.683","12.2633","37.445","24.827","0","0","0","0","29","1.381","4.683","0","29","24.827","1.381","12.2633","37.445","4","3","0"
"145","1","4","3","140257","0","93.6653","4.683","12.2633","37.445","24.827","0","0","0","0","29","1.381","4.683","0","29","24.827","1.381","12.2633","37.445","4","3","0"
"146","1","4","3","175321","0","93.6653","4.683","12.2633","37.445","24.827","0","0","0","0","29","1.381","4.683","0","29","24.827","1.381","12.2633","37.445","4","3","0"
"147","1","4","3","210385","0","93.6653","4.683","12.2633","37.445","24.827","0","0","0","0","29","1.381","4.683","0","29","24.827","1.381","12.2633","37.445","4","3","0"
"148","1","4","3","245449","0","93.6653","4.683","12.2633","37.445","24.827","0","0","0","0","29","1.381","4.683","0","29","24.827","1.381","12.2633","37.445","4","3","0"
"149","1","4","3","280513","0","93.6653","4.683","12.2633","37.445","24.827","0","0","0","0","29","1.381","4.683","0","29","24.827","1.381","12.2633","37.445","4","3","0"
"150","1","4","3","315577","0","93.6653","4.683","12.2633","37.445","24.827","0","0","0","0","29","1.381","4.683","0","29","24.827","1.381","12.2633","37.445","4","3","0"
"151","1","4","5","1","0","62.427","3.121","12.2633","37.445","24.827","0","0","0","0","29","1.381","3.121","0","29","24.827","1.381","12.2633","37.445","4","5","0"
"152","1","4","5","35065","0","62.427","3.121","12.2633","37.445","24.827","0","0","0","0","29","1.381","3.121","0","29","24.827","1.381","12.2633","37.445","4","5","0"
"153","1","4","5","70129","0","62.427","3.121","12.2633","37.445","24.827","0","0","0","0","29","1.381","3.121","0","29","24.827","1.381","12.2633","37.445","4","5","0"
"154","1","4","5","105193","0","62.427","3.121","12.2633","37.445","24.827","0","0","0","0","29","1.381","3.121","0","29","24.827","1.381","12.2633","37.445","4","5","0"
"155","1","4","5","140257","0","62.427","3.121","12.2633","37.445","24.827","0","0","0","0","29","1.381","3.121","0","29","24.827","1.381","12.2633","37.445","4","5","0"
"156","1","4","5","175321","0","62.427","3.121","12.2633","37.445","24.827","0","0","0","0","29","1.381","3.121","0","29","24.827","1.381","12.2633","37.445","4","5","0"
"157","1","4","5","210385","0","62.427","3.121","12.2633","37.445","24.827","0","0","0","0","29","1.381","3.121","0","29","24.827","1.381","12.2633","37.445","4","5","0"
"158","1","4","5","245449","0","62.427","3.121","12.2633","37.445","24.827","0","0","0","0","29","1.381","3.121","0","29","24.827","1.381","12.2633","37.445","4","5","0"
"159","1","4","5","280513","0","62.427","3.121","12.2633","37.445","24.827","0","0","0","0","29","1.381","3.121","0","29","24.827","1.381","12.2633","37.445","4","5","0"
"160","1","4","5","315577","0","62.427","3.121","12.2633","37.445","24.827","0","0","0","0","29","1.381","3.121","0","29","24.827","1.381","12.2633","37.445","4","5","0"
"161","1","5","2","1","0","134.036","326.252","10.12","41.4229","18.612","0","0","0","0","26","1.04","326.252","0","26","18.612","1.04","10.12","41.4229","5","2","0"
"162","1","5","2","35065","0","134.036","326.252","10.12","41.4229","18.612","0","0","0","0","26","1.04","326.252","0","26","18.612","1.04","10.12","41.4229","5","2","0"
"163","1","5","2","70129","0","134.036","326.252","10.12","41.4229","18.612","0","0","0","0","26","1.04","326.252","0","26","18.612","1.04","10.12","41.4229","5","2","0"
"164","1","5","2","105193","0","134.036","326.252","10.12","41.4229","18.612","0","0","0","0","26","1.04","326.252","0","26","18.612","1.04","10.12","41.4229","5","2","0"
"165","1","5","2","140257","0","134.036","326.252","10.12","41.4229","18.612","0","0","0","0","26","1.04","326.252","0","26","18.612","1.04","10.12","41.4229","5","2","0"
"166","1","5","2","175321","0","134.036","326.252","10.12","41.4229","18.612","0","0","0","0","26","1.04","326.252","0","26","18.612","1.04","10.12","41.4229","5","2","0"
