"time_sk","time_code","date","heure","jour","mois","annee","jour_semaine","weekend","periode"
"46","20190102_210000_H","2019-01-02","21:00:00","2","1","2019","3","0","hors_pointe"
"47","20190102_220000_H","2019-01-02","22:00:00","2","1","2019","3","0","hors_pointe"
"48","20190102_230000_H","2019-01-02","23:00:00","2","1","2019","3","0","hors_pointe"
"49","20190103_00_H","2019-01-03","00:00:00","3","1","2019","4","0","hors_pointe"
"50","20190103_10000_H","2019-01-03","01:00:00","3","1","2019","4","0","hors_pointe"
"51","20190103_20000_H","2019-01-03","02:00:00","3","1","2019","4","0","hors_pointe"
"52","20190103_30000_H","2019-01-03","03:00:00","3","1","2019","4","0","hors_pointe"
"53","20190103_40000_H","2019-01-03","04:00:00","3","1","2019","4","0","hors_pointe"
"54","20190103_50000_H","2019-01-03","05:00:00","3","1","2019","4","0","hors_pointe"
"55","20190103_60000_H","2019-01-03","06:00:00","3","1","2019","4","0","hors_pointe"
"56","20190103_70000_P","2019-01-03","07:00:00","3","1","2019","4","0","pointe"
"57","20190103_80000_P","2019-01-03","08:00:00","3","1","2019","4","0","pointe"
"58","20190103_90000_P","2019-01-03","09:00:00","3","1","2019","4","0","pointe"
"59","20190103_100000_H","2019-01-03","10:00:00","3","1","2019","4","0","hors_pointe"
"60","20190103_110000_H","2019-01-03","11:00:00","3","1","2019","4","0","hors_pointe"
"61","20190103_120000_H","2019-01-03","12:00:00","3","1","2019","4","0","hors_pointe"
"62","20190103_130000_H","2019-01-03","13:00:00","3","1","2019","4","0","hors_pointe"
"63","20190103_140000_H","2019-01-03","14:00:00","3","1","2019","4","0","hors_pointe"
"64","20190103_150000_H","2019-01-03","15:00:00","3","1","2019","4","0","hors_pointe"
"65","20190103_160000_H","2019-01-03","16:00:00","3","1","2019","4","0","hors_pointe"
"66","20190103_170000_P","2019-01-03","17:00:00","3","1","2019","4","0","pointe"
"67","20190103_180000_P","2019-01-03","18:00:00","3","1","2019","4","0","pointe"
"68","20190103_190000_P","2019-01-03","19:00:00","3","1","2019","4","0","pointe"
"69","20190103_200000_H","2019-01-03","20:00:00","3","1","2019","4","0","hors_pointe"
"70","20190103_210000_H","2019-01-03","21:00:00","3","1","2019","4","0","hors_pointe"
"71","20190103_220000_H","2019-01-03","22:00:00","3","1","2019","4","0","hors_pointe"
"72","20190103_230000_H","2019-01-03","23:00:00","3","1","2019","4","0","hors_pointe"
"73","20190104_00_H","2019-01-04","00:00:00","4","1","2019","5","0","hors_pointe"
"74","20190104_10000_H","2019-01-04","01:00:00","4","1","2019","5","0","hors_pointe"
"75","20190104_20000_H","2019-01-04","02:00:00","4","1","2019","5","0","hors_pointe"
"76","20190104_30000_H","2019-01-04","03:00:00","4","1","2019","5","0","hors_pointe"
"77","20190104_40000_H","2019-01-04","04:00:00","4","1","2019","5","0","hors_pointe"
"78","20190104_50000_H","2019-01-04","05:00:00","4","1","2019","5","0","hors_pointe"
"79","20190104_60000_H","2019-01-04","06:00:00","4","1","2019","5","0","hors_pointe"
"80","20190104_70000_P","2019-01-04","07:00:00","4","1","2019","5","0","pointe"
"81","20190104_80000_P","2019-01-04","08:00:00","4","1","2019","5","0","pointe"
"82","20190104_90000_P","2019-01-04","09:00:00","4","1","2019","5","0","pointe"
"83","20190104_100000_H","2019-01-04","10:00:00","4","1","2019","5","0","hors_pointe"
"84","20190104_110000_H","2019-01-04","11:00:00","4","1","2019","5","0","hors_pointe"
"85","20190104_120000_H","2019-01-04","12:00:00","4","1","2019","5","0","hors_pointe"
"86","20190104_130000_H","2019-01-04","13:00:00","4","1","2019","5","0","hors_pointe"
"87","20190104_140000_H","2019-01-04","14:00:00","4","1","2019","5","0","hors_pointe"
"88","20190104_150000_H","2019-01-04","15:00:00","4","1","2019","5","0","hors_pointe"
"89","20190104_160000_H","2019-01-04","16:00:00","4","1","2019","5","0","hors_pointe"
"90","20190104_170000_P","2019-01-04","17:00:00","4","1","2019","5","0","pointe"
"91","20190104_180000_P","2019-01-04","18:00:00","4","1","2019","5","0","pointe"
"92","20190104_190000_P","2019-01-04","19:00:00","4","1","2019","5","0","pointe"
"93","20190104_200000_H","2019-01-04","20:00:00","4","1","2019","5","0","hors_pointe"
"94","20190104_210000_H","2019-01-04","21:00:00","4","1","2019","5","0","hors_pointe"
"95","20190104_220000_H","2019-01-04","22:00:00","4","1","2019","5","0","hors_pointe"
"96","20190104_230000_H","2019-01-04","23:00:00","4","1","2019","5","0","hors_pointe"
"97","20190105_00_H","2019-01-05","00:00:00","5","1","2019","6","1","hors_pointe"
"98","20190105_10000_H","2019-01-05","01:00:00","5","1","2019","6","1","hors_pointe"
"99","20190105_20000_H","2019-01-05","02:00:00","5","1","2019","6","1","hors_pointe"
"100","20190105_30000_H","2019-01-05","03:00:00","5","1","2019","6","1","hors_pointe"
"101","20190105_40000_H","2019-01-05","04:00:00","5","1","2019","6","1","hors_pointe"
"102","20190105_50000_H","2019-01-05","05:00:00","5","1","2019","6","1","hors_pointe"
"103","20190105_60000_H","2019-01-05","06:00:00","5","1","2019","6","1","hors_pointe"
"104","20190105_70000_P","2019-01-05","07:00:00","5","1","2019","6","1","pointe"
"105","20190105_80000_P","2019-01-05","08:00:00","5","1","2019","6","1","pointe"
"106","20190105_90000_P","2019-01-05","09:00:00","5","1","2019","6","1","pointe"
"107","20190105_100000_H","2019-01-05","10:00:00","5","1","2019","6","1","hors_pointe"
"108","20190105_110000_H","2019-01-05","11:00:00","5","1","2019","6","1","hors_pointe"
"109","20190105_120000_H","2019-01-05","12:00:00","5","1","2019","6","1","hors_pointe"
"110","20190105_130000_H","2019-01-05","13:00:00","5","1","2019","6","1","hors_pointe"
"111","20190105_140000_H","2019-01-05","14:00:00","5","1","2019","6","1","hors_pointe"
"112","20190105_150000_H","2019-01-05","15:00:00","5","1","2019","6","1","hors_pointe"
"113","20190105_160000_H","2019-01-05","16:00:00","5","1","2019","6","1","hors_pointe"
"114","20190105_170000_P","2019-01-05","17:00:00","5","1","2019","6","1","pointe"
"115","20190105_180000_P","2019-01-05","18:00:00","5","1","2019","6","1","pointe"
"116","20190105_190000_P","2019-01-05","19:00:00","5","1","2019","6","1","pointe"
"117","20190105_200000_H","2019-01-05","20:00:00","5","1","2019","6","1","hors_pointe"
"118","20190105_210000_H","2019-01-05","21:00:00","5","1","2019","6","1","hors_pointe"
"119","20190105_2200_H","2019-01-05","22:00:00","5","1","2019","6","1","hors_pointe"
"120","20190105_230000_H","2019-01-05","23:00:00","5","1","2019","6","1","hors_pointe"
"121","20190106_00_H","2019-01-06","00:00:00","6","1","2019","7","1","hors_pointe"
"122","20190106_10000_H","2019-01-06","01:00:00","6","1","2019","7","1","hors_pointe"
"123","20190106_20000_H","2019-01-06","02:00:00","6","1","2019","7","1","hors_pointe"
"124","20190106_30000_H","2019-01-06","03:00:00","6","1","2019","7","1","hors_pointe"
"125","20190106_40000_H","2019-01-06","04:00:00","6","1","2019","7","1","hors_pointe"
"126","20190106_50000_H","2019-01-06","05:00:00","6","1","2019","7","1","hors_pointe"
"127","20190106_60000_H","2019-01-06","06:00:00","6","1","2019","7","1","hors_pointe"
"128","20190106_70000_P","2019-01-06","07:00:00","6","1","2019","7","1","pointe"
"129","20190106_80000_P","2019-01-06","08:00:00","6","1","2019","7","1","pointe"
"130","20190106_90000_P","2019-01-06","09:00:00","6","1","2019","7","1","pointe"
"131","20190106_100000_H","2019-01-06","10:00:00","6","1","2019","7","1","hors_pointe"
"132","20190106_110000_H","2019-01-06","11:00:00","6","1","2019","7","1","hors_pointe"
"133","20190106_120000_H","2019-01-06","12:00:00","6","1","2019","7","1","hors_pointe"
"134","20190106_130000_H","2019-01-06","13:00:00","6","1","2019","7","1","hors_pointe"
"135","20190106_140000_H","2019-01-06","14:00:00","6","1","2019","7","1","hors_pointe"
"136","20190106_150000_H","2019-01-06","15:00:00","6","1","2019","7","1","hors_pointe"
"137","20190106_160000_H","2019-01-06","16:00:00","6","1","2019","7","1","hors_pointe"
"138","20190106_170000_P","2019-01-06","17:00:00","6","1","2019","7","1","pointe"
"139","20190106_180000_P","2019-01-06","18:00:00","6","1","2019","7","1","pointe"
"140","20190106_190000_P","2019-01-06","19:00:00","6","1","2019","7","1","pointe"
"141","20190106_200000_H","2019-01-06","20:00:00","6","1","2019","7","1","hors_pointe"
"142","20190106_210000_H","2019-01-06","21:00:00","6","1","2019","7","1","hors_pointe"
"143","20190106_220000_H","2019-01-06","22:00:00","6","1","2019","7","1","hors_pointe"
"144","20190106_230000_H","2019-01-06","23:00:00","6","1","2019","7","1","hors_pointe"
"145","20190107_00_H","2019-01-07","00:00:00","7","1","2019","1","0","hors_pointe"
"146","20190107_10000_H","2019-01-07","01:00:00","7","1","2019","1","0","hors_pointe"
"147","20190107_20000_H","2019-01-07","02:00:00","7","1","2019","1","0","hors_pointe"
"148","20190107_30000_H","2019-01-07","03:00:00","7","1","2019","1","0","hors_pointe"
"149","20190107_40000_H","2019-01-07","04:00:00","7","1","2019","1","0","hors_pointe"
"150","20190107_50000_H","2019-01-07","05:00:00","7","1","2019","1","0","hors_pointe"
"151","20190107_60000_H","2019-01-07","06:00:00","7","1","2019","1","0","hors_pointe"
"152","20190107_70000_P","2019-01-07","07:00:00","7","1","2019","1","0","pointe"
"153","20190107_80000_P","2019-01-07","08:00:00","7","1","2019","1","0","pointe"
"154","20190107_90000_P","2019-01-07","09:00:00","7","1","2019","1","0","pointe"
"155","20190107_100000_H","2019-01-07","10:00:00","7","1","2019","1","0","hors_pointe"
"156","20190107_110000_H","2019-01-07","11:00:00","7","1","2019","1","0","hors_pointe"
"157","20190107_120000_H","2019-01-07","12:00:00","7","1","2019","1","0","hors_pointe"
"158","20190107_130000_H","2019-01-07","13:00:00","7","1","2019","1","0","hors_pointe"
"159","20190107_140000_H","2019-01-07","14:00:00","7","1","2019","1","0","hors_pointe"
"160","20190107_150000_H","2019-01-07","15:00:00","7","1","2019","1","0","hors_pointe"
"161","20190107_160000_H","2019-01-07","16:00:00","7","1","2019","1","0","hors_pointe"
"162","20190107_170000_P","2019-01-07","17:00:00","7","1","2019","1","0","pointe"
"163","20190107_180000_P","2019-01-07","18:00:00","7","1","2019","1","0","pointe"
"164","20190107_190000_P","2019-01-07","19:00:00","7","1","2019","1","0","pointe"
"165","20190107_200000_H","2019-01-07","20:00:00","7","1","2019","1","0","hors_pointe"
"166","20190107_210000_H","2019-01-07","21:00:00","7","1","2019","1","0","hors_pointe"
"167","20190107_220000_H","2019-01-07","22:00:00","7","1","2019","1","0","hors_pointe"
"168","20190107_230000_H","2019-01-07","23:00:00","7","1","2019","1","0","hors_pointe"
"169","20190108_00_H","2019-01-08","00:00:00","8","1","2019","2","0","hors_pointe"
"170","20190108_10000_H","2019-01-08","01:00:00","8","1","2019","2","0","hors_pointe"
"171","20190108_20000_H","2019-01-08","02:00:00","8","1","2019","2","0","hors_pointe"
"172","20190108_30000_H","2019-01-08","03:00:00","8","1","2019","2","0","hors_pointe"
"173","20190108_40000_H","2019-01-08","04:00:00","8","1","2019","2","0","hors_pointe"
"174","20190108_50000_H","2019-01-08","05:00:00","8","1","2019","2","0","hors_pointe"
"175","20190108_60000_H","2019-01-08","06:00:00","8","1","2019","2","0","hors_pointe"
"176","20190108_70000_P","2019-01-08","07:00:00","8","1","2019","2","0","pointe"
"177","20190108_80000_P","2019-01-08","08:00:00","8","1","2019","2","0","pointe"
"178","20190108_90000_P","2019-01-08","09:00:00","8","1","2019","2","0","pointe"
"179","20190108_100000_H","2019-01-08","10:00:00","8","1","2019","2","0","hors_pointe"
"180","20190108_110000_H","2019-01-08","11:00:00","8","1","2019","2","0","hors_pointe"
"181","20190108_120000_H","2019-01-08","12:00:00","8","1","2019","2","0","hors_pointe"
"182","20190108_130000_H","2019-01-08","13:00:00","8","1","2019","2","0","hors_pointe"
"183","20190108_140000_H","2019-01-08","14:00:00","8","1","2019","2","0","hors_pointe"
"184","20190108_150000_H","2019-01-08","15:00:00","8","1","2019","2","0","hors_pointe"
"185","20190108_160000_H","2019-01-08","16:00:00","8","1","2019","2","0","hors_pointe"
"186","20190108_170000_P","2019-01-08","17:00:00","8","1","2019","2","0","pointe"
"187","20190108_180000_P","2019-01-08","18:00:00","8","1","2019","2","0","pointe"
"188","20190108_190000_P","2019-01-08","19:00:00","8","1","2019","2","0","pointe"
"189","20190108_200000_H","2019-01-08","20:00:00","8","1","2019","2","0","hors_pointe"
"190","20190108_210000_H","2019-01-08","21:00:00","8","1","2019","2","0","hors_pointe"
"191","20190108_220000_H","2019-01-08","22:00:00","8","1","2019","2","0","hors_pointe"
"192","20190108_230000_H","2019-01-08","23:00:00","8","1","2019","2","0","hors_pointe"
"193","20190109_00_H","2019-01-09","00:00:00","9","1","2019","3","0","hors_pointe"
"194","20190109_10000_H","2019-01-09","01:00:00","9","1","2019","3","0","hors_pointe"
"195","20190109_20000_H","2019-01-09","02:00:00","9","1","2019","3","0","hors_pointe"
"196","20190109_30000_H","2019-01-09","03:00:00","9","1","2019","3","0","hors_pointe"
"197","20190109_40000_H","2019-01-09","04:00:00","9","1","2019","3","0","hors_pointe"
"198","20190109_50000_H","2019-01-09","05:00:00","9","1","2019","3","0","hors_pointe"
"199","20190109_60000_H","2019-01-09","06:00:00","9","1","2019","3","0","hors_pointe"
"200","20190109_70000_P","2019-01-09","07:00:00","9","1","2019","3","0","pointe"
"201","20190109_80000_P","2019-01-09","08:00:00","9","1","2019","3","0","pointe"
"202","20190109_90000_P","2019-01-09","09:00:00","9","1","2019","3","0","pointe"
"203","20190109_100000_H","2019-01-09","10:00:00","9","1","2019","3","0","hors_pointe"
"204","20190109_110000_H","2019-01-09","11:00:00","9","1","2019","3","0","hors_pointe"
"205","20190109_120000_H","2019-01-09","12:00:00","9","1","2019","3","0","hors_pointe"
"206","20190109_130000_H","2019-01-09","13:00:00","9","1","2019","3","0","hors_pointe"
"207","20190109_140000_H","2019-01-09","14:00:00","9","1","2019","3","0","hors_pointe"
"208","20190109_150000_H","2019-01-09","15:00:00","9","1","2019","3","0","hors_pointe"
"209","20190109_160000_H","2019-01-09","16:00:00","9","1","2019","3","0","hors_pointe"
"210","20190109_170000_P","2019-01-09","17:00:00","9","1","2019","3","0","pointe"
"211","20190109_180000_P","2019-01-09","18:00:00","9","1","2019","3","0","pointe"
"212","20190109_190000_P","2019-01-09","19:00:00","9","1","2019","3","0","pointe"
"213","20190109_200000_H","2019-01-09","20:00:00","9","1","2019","3","0","hors_pointe"
"214","20190109_210000_H","2019-01-09","21:00:00","9","1","2019","3","0","hors_pointe"
"215","20190109_220000_H","2019-01-09","22:00:00","9","1","2019","3","0","hors_pointe"
"216","20190109_230000_H","2019-01-09","23:00:00","9","1","2019","3","0","hors_pointe"
"217","20190110_00_H","2019-01-10","00:00:00","10","1","2019","4","0","hors_pointe"
"218","20190110_10000_H","2019-01-10","01:00:00","10","1","2019","4","0","hors_pointe"
"219","20190110_20000_H","2019-01-10","02:00:00","10","1","2019","4","0","hors_pointe"
"220","20190110_30000_H","2019-01-10","03:00:00","10","1","2019","4","0","hors_pointe"
"221","20190110_40000_H","2019-01-10","04:00:00","10","1","2019","4","0","hors_pointe"
"222","20190110_50000_H","2019-01-10","05:00:00","10","1","2019","4","0","hors_pointe"
"223","20190110_60000_H","2019-01-10","06:00:00","10","1","2019","4","0","hors_pointe"
"224","20190110_70000_P","2019-01-10","07:00:00","10","1","2019","4","0","pointe"
"225","20190110_80000_P","2019-01-10","08:00:00","10","1","2019","4","0","pointe"
"226","20190110_90000_P","2019-01-10","09:00:00","10","1","2019","4","0","pointe"
"227","20190110_100000_H","2019-01-10","10:00:00","10","1","2019","4","0","hors_pointe"
"228","20190110_110000_H","2019-01-10","11:00:00","10","1","2019","4","0","hors_pointe"
"229","20190110_120000_H","2019-01-10","12:00:00","10","1","2019","4","0","hors_pointe"
"230","20190110_130000_H","2019-01-10","13:00:00","10","1","2019","4","0","hors_pointe"
"231","20190110_140000_H","2019-01-10","14:00:00","10","1","2019","4","0","hors_pointe"
"232","20190110_150000_H","2019-01-10","15:00:00","10","1","2019","4","0","hors_pointe"
"233","20190110_160000_H","2019-01-10","16:00:00","10","1","2019","4","0","hors_pointe"
"234","20190110_170000_P","2019-01-10","17:00:00","10","1","2019","4","0","pointe"
"235","20190110_180000_P","2019-01-10","18:00:00","10","1","2019","4","0","pointe"
"236","20190110_190000_P","2019-01-10","19:00:00","10","1","2019","4","0","pointe"
"237","20190110_200000_H","2019-01-10","20:00:00","10","1","2019","4","0","hors_pointe"
"238","20190110_210000_H","2019-01-10","21:00:00","10","1","2019","4","0","hors_pointe"
"239","20190110_220000_H","2019-01-10","22:00:00","10","1","2019","4","0","hors_pointe"
"240","20190110_230000_H","2019-01-10","23:00:00","10","1","2019","4","0","hors_pointe"
"241","20190111_00_H","2019-01-11","00:00:00","11","1","2019","5","0","hors_pointe"
"242","20190111_10000_H","2019-01-11","01:00:00","11","1","2019","5","0","hors_pointe"
"243","20190111_20000_H","2019-01-11","02:00:00","11","1","2019","5","0","hors_pointe"
"244","20190111_30000_H","2019-01-11","03:00:00","11","1","2019","5","0","hors_pointe"
"245","20190111_40000_H","2019-01-11","04:00:00","11","1","2019","5","0","hors_pointe"
"246","20190111_50000_H","2019-01-11","05:00:00","11","1","2019","5","0","hors_pointe"
"247","20190111_60000_H","2019-01-11","06:00:00","11","1","2019","5","0","hors_pointe"
"248","20190111_70000_P","2019-01-11","07:00:00","11","1","2019","5","0","pointe"
"249","20190111_80000_P","2019-01-11","08:00:00","11","1","2019","5","0","pointe"
"250","20190111_90000_P","2019-01-11","09:00:00","11","1","2019","5","0","pointe"
"251","20190111_100000_H","2019-01-11","10:00:00","11","1","2019","5","0","hors_pointe"
"252","20190111_110000_H","2019-01-11","11:00:00","11","1","2019","5","0","hors_pointe"
"253","20190111_120000_H","2019-01-11","12:00:00","11","1","2019","5","0","hors_pointe"
"254","20190111_130000_H","2019-01-11","13:00:00","11","1","2019","5","0","hors_pointe"
"255","20190111_140000_H","2019-01-11","14:00:00","11","1","2019","5","0","hors_pointe"
"256","20190111_150000_H","2019-01-11","15:00:00","11","1","2019","5","0","hors_pointe"
"257","20190111_160000_H","2019-01-11","16:00:00","11","1","2019","5","0","hors_pointe"
"258","20190111_170000_P","2019-01-11","17:00:00","11","1","2019","5","0","pointe"
"259","20190111_180000_P","2019-01-11","18:00:00","11","1","2019","5","0","pointe"
"260","20190111_190000_P","2019-01-11","19:00:00","11","1","2019","5","0","pointe"
"261","20190111_200000_H","2019-01-11","20:00:00","11","1","2019","5","0","hors_pointe"
"262","20190111_210000_H","2019-01-11","21:00:00","11","1","2019","5","0","hors_pointe"
"263","20190111_220000_H","2019-01-11","22:00:00","11","1","2019","5","0","hors_pointe"
"264","20190111_230000_H","2019-01-11","23:00:00","11","1","2019","5","0","hors_pointe"
"265","20190112_00_H","2019-01-12","00:00:00","12","1","2019","6","1","hors_pointe"
"266","20190112_10000_H","2019-01-12","01:00:00","12","1","2019","6","1","hors_pointe"
"267","20190112_20000_H","2019-01-12","02:00:00","12","1","2019","6","1","hors_pointe"
"268","20190112_30000_H","2019-01-12","03:00:00","12","1","2019","6","1","hors_pointe"
"269","20190112_40000_H","2019-01-12","04:00:00","12","1","2019","6","1","hors_pointe"
"270","20190112_50000_H","2019-01-12","05:00:00","12","1","2019","6","1","hors_pointe"
"271","20190112_60000_H","2019-01-12","06:00:00","12","1","2019","6","1","hors_pointe"
"272","20190112_70000_P","2019-01-12","07:00:00","12","1","2019","6","1","pointe"
"273","20190112_80000_P","2019-01-12","08:00:00","12","1","2019","6","1","pointe"
"274","20190112_90000_P","2019-01-12","09:00:00","12","1","2019","6","1","pointe"
"275","20190112_100000_H","2019-01-12","10:00:00","12","1","2019","6","1","hors_pointe"
"276","20190112_110000_H","2019-01-12","11:00:00","12","1","2019","6","1","hors_pointe"
"277","20190112_120000_H","2019-01-12","12:00:00","12","1","2019","6","1","hors_pointe"
"278","20190112_130000_H","2019-01-12","13:00:00","12","1","2019","6","1","hors_pointe"
"279","20190112_140000_H","2019-01-12","14:00:00","12","1","2019","6","1","hors_pointe"
"280","20190112_150000_H","2019-01-12","15:00:00","12","1","2019","6","1","hors_pointe"
"281","20190112_160000_H","2019-01-12","16:00:00","12","1","2019","6","1","hors_pointe"
"282","20190112_170000_P","2019-01-12","17:00:00","12","1","2019","6","1","pointe"
"283","20190112_180000_P","2019-01-12","18:00:00","12","1","2019","6","1","pointe"
"284","20190112_190000_P","2019-01-12","19:00:00","12","1","2019","6","1","pointe"
"285","20190112_200000_H","2019-01-12","20:00:00","12","1","2019","6","1","hors_pointe"
"286","20190112_210000_H","2019-01-12","21:00:00","12","1","2019","6","1","hors_pointe"
"287","20190112_220000_H","2019-01-12","22:00:00","12","1","2019","6","1","hors_pointe"
"288","20190112_230000_H","2019-01-12","23:00:00","12","1","2019","6","1","hors_pointe"
"289","20190113_00_H","2019-01-13","00:00:00","13","1","2019","7","1","hors_pointe"
"290","20190113_10000_H","2019-01-13","01:00:00","13","1","2019","7","1","hors_pointe"
"291","20190113_20000_H","2019-01-13","02:00:00","13","1","2019","7","1","hors_pointe"
"292","20190113_30000_H","2019-01-13","03:00:00","13","1","2019","7","1","hors_pointe"
"293","20190113_40000_H","2019-01-13","04:00:00","13","1","2019","7","1","hors_pointe"
"294","20190113_50000_H","2019-01-13","05:00:00","13","1","2019","7","1","hors_pointe"
"295","20190113_60000_H","2019-01-13","06:00:00","13","1","2019","7","1","hors_pointe"
"296","20190113_70000_P","2019-01-13","07:00:00","13","1","2019","7","1","pointe"
"297","20190113_80000_P","2019-01-13","08:00:00","13","1","2019","7","1","pointe"
"298","20190113_90000_P","2019-01-13","09:00:00","13","1","2019","7","1","pointe"
"299","20190113_100000_H","2019-01-13","10:00:00","13","1","2019","7","1","hors_pointe"
"300","20190113_110000_H","2019-01-13","11:00:00","13","1","2019","7","1","hors_pointe"
"301","20190113_120000_H","2019-01-13","12:00:00","13","1","2019","7","1","hors_pointe"
"302","20190113_130000_H","2019-01-13","13:00:00","13","1","2019","7","1","hors_pointe"
"303","20190113_140000_H","2019-01-13","14:00:00","13","1","2019","7","1","hors_pointe"
"304","20190113_150000_H","2019-01-13","15:00:00","13","1","2019","7","1","hors_pointe"
"305","20190113_160000_H","2019-01-13","16:00:00","13","1","2019","7","1","hors_pointe"
"306","20190113_170000_P","2019-01-13","17:00:00","13","1","2019","7","1","pointe"
"307","20190113_180000_P","2019-01-13","18:00:00","13","1","2019","7","1","pointe"
"308","20190113_190000_P","2019-01-13","19:00:00","13","1","2019","7","1","pointe"
"309","20190113_200000_H","2019-01-13","20:00:00","13","1","2019","7","1","hors_pointe"
"310","20190113_210000_H","2019-01-13","21:00:00","13","1","2019","7","1","hors_pointe"
"311","20190113_220000_H","2019-01-13","22:00:00","13","1","2019","7","1","hors_pointe"
"312","20190113_230000_H","2019-01-13","23:00:00","13","1","2019","7","1","hors_pointe"
"313","20190114_00_H","2019-01-14","00:00:00","14","1","2019","1","0","hors_pointe"
"314","20190114_10000_H","2019-01-14","01:00:00","14","1","2019","1","0","hors_pointe"
"315","20190114_20000_H","2019-01-14","02:00:00","14","1","2019","1","0","hors_pointe"
"316","20190114_30000_H","2019-01-14","03:00:00","14","1","2019","1","0","hors_pointe"
"317","20190114_40000_H","2019-01-14","04:00:00","14","1","2019","1","0","hors_pointe"
"318","20190114_50000_H","2019-01-14","05:00:00","14","1","2019","1","0","hors_pointe"
"319","20190114_60000_H","2019-01-14","06:00:00","14","1","2019","1","0","hors_pointe"
"320","20190114_70000_P","2019-01-14","07:00:00","14","1","2019","1","0","pointe"
"321","20190114_80000_P","2019-01-14","08:00:00","14","1","2019","1","0","pointe"
"322","20190114_90000_P","2019-01-14","09:00:00","14","1","2019","1","0","pointe"
"323","20190114_100000_H","2019-01-14","10:00:00","14","1","2019","1","0","hors_pointe"
