ds,zone_sk,congestion_forecast,congestion_lower,congestion_upper
2019-07-10,1,2.1462,0.7453,3.5155
2019-07-11,1,2.0248,0.6628,3.4232
2019-07-12,1,1.9026,0.4686,3.3645
2019-08-01,1,2.8413,1.389,4.2601
2019-09-01,1,2.3794,0.8841,3.8313
2019-09-02,1,2.4047,0.8489,3.7366
2019-09-03,1,2.3399,0.9898,3.8035
2019-09-04,1,2.5318,1.0881,3.903
2019-09-05,1,2.3824,0.9372,3.872
2019-09-06,1,2.2201,0.747,3.6557
2019-09-07,1,2.1321,0.724,3.5679
2019-09-08,1,2.2651,0.8045,3.6854
2019-09-09,1,2.2649,0.8265,3.6963
2019-09-10,1,2.1759,0.7328,3.6755
2019-10-01,1,2.0553,0.4806,3.3779
2019-10-02,1,2.3063,0.7757,3.7273
2019-10-03,1,2.2226,0.6382,3.6882
2019-10-04,1,2.1318,0.7242,3.5959
2019-11-01,1,2.0906,0.7573,3.5582
2019-11-02,1,2.4564,1.0372,3.7212
2019-11-03,1,2.5953,1.202,3.9834
2019-11-04,1,2.6031,1.1806,4.1358
2019-11-05,1,2.5239,1.1289,4.0977
2019-11-06,1,2.7043,1.3371,4.1244
2019-11-07,1,2.5463,1.0892,3.9729
2019-12-01,1,1.6589,0.1758,3.0807
2019-12-02,1,1.6696,0.1884,3.1115
2019-12-03,1,1.598,0.0799,2.9956
2019-12-04,1,1.7912,0.3242,3.2168
2019-12-05,1,1.6514,0.1914,3.0439
2019-12-06,1,1.5069,0.0306,3.0168
2019-12-07,1,1.4447,0.0,2.9291
2019-12-08,1,1.6112,0.2345,3.1513
2019-12-09,1,1.6516,0.3327,3.1257
2019-12-10,1,1.6094,0.1782,2.9858
2019-12-11,1,1.8315,0.3211,3.3641
2019-12-12,1,1.7194,0.2459,3.1416
2019-12-13,1,1.6013,0.1044,3.1178
2020-01-01,1,1.9053,0.382,3.3426
2020-01-02,1,2.2683,0.8881,3.7114
2020-01-03,1,2.1357,0.7097,3.589
2020-01-04,1,2.0788,0.6715,3.4297
2020-01-05,1,2.2442,0.8201,3.7207
2020-01-06,1,2.2772,0.7926,3.7012
2020-01-07,1,2.2218,0.6889,3.6804
2020-01-08,1,2.4249,0.8972,3.8572
2020-01-09,1,2.2887,0.8646,3.7323
2020-01-10,1,2.1417,0.7023,3.6637
2020-01-11,1,2.071,0.6248,3.6276
2020-01-12,1,2.2231,0.7829,3.6454
2020-01-13,1,2.2436,0.8232,3.7381
2020-01-14,1,2.1765,0.8025,3.619
2020-01-15,1,2.3687,1.0486,3.8203
2020-02-01,1,1.9152,0.5224,3.2623
2020-02-02,1,2.0913,0.6716,3.5962
2020-02-03,1,2.1409,0.7218,3.6091
2020-02-04,1,2.1077,0.6232,3.6627
2020-02-05,1,2.3384,0.934,3.7738
2020-02-06,1,2.2349,0.7989,3.7311
2020-02-07,1,2.1252,0.7096,3.5639
2020-03-01,1,2.3178,0.8974,3.7653
2020-03-02,1,2.2879,0.6866,3.7276
2020-03-03,1,2.1693,0.6887,3.6005
2020-03-04,1,2.3102,0.9018,3.8196
2020-03-05,1,2.1139,0.626,3.5867
2020-04-01,1,3.4153,1.9895,4.93
2020-04-02,1,3.3766,1.9413,4.907
2020-04-03,1,3.3195,1.8547,4.7527
2020-04-04,1,3.3301,1.7135,4.7348
2020-04-05,1,3.5538,2.0281,5.0904
2020-04-06,1,3.635,2.1871,5.1883
2020-04-07,1,3.6171,2.1978,5.0003
2020-04-08,1,3.8465,2.3329,5.2649
2020-04-09,1,3.7253,2.2569,5.207
2020-04-10,1,3.582,2.1788,5.1032
2020-04-11,1,3.5038,2.1219,4.9603
2020-04-12,1,3.6378,2.2869,5.12
2020-04-13,1,3.518,1.9909,4.954
2020-04-14,1,3.5253,2.0224,5.0073
2020-04-15,1,3.6715,2.2857,5.2919
2020-04-16,1,3.472,2.0069,4.8963
2020-04-17,1,3.2565,1.8054,4.7705
2020-05-01,1,1.6342,0.2033,3.2024
2020-05-02,1,2.0901,0.6916,3.678
2020-06-01,1,2.5098,1.1113,3.947
2020-06-02,1,2.4769,0.937,3.9965
2020-06-03,1,2.722,1.2349,4.1841
2020-06-04,1,2.6308,1.1522,4.0442
2020-06-05,1,2.5311,1.149,3.9273
2020-06-06,1,2.5093,1.0263,3.9615
2020-06-07,1,2.7111,1.2781,4.1284
2020-06-08,1,2.781,1.3424,4.23
2020-06-09,1,2.7622,1.2855,4.2066
2020-06-10,1,3.0007,1.455,4.3669
2020-06-11,1,2.8979,1.3873,4.4172
2020-06-12,1,2.7813,1.2144,4.1993
2020-07-01,1,2.4525,0.9403,3.9644
2020-07-02,1,2.2692,0.7849,3.7248
2020-07-03,1,2.082,0.6379,3.6062
2020-07-04,1,1.9789,0.4852,3.499
2020-07-05,1,2.1072,0.5627,3.5115
2020-07-06,1,2.1129,0.7622,3.6016
2020-07-07,1,2.0404,0.5604,3.5635
2020-07-08,1,2.2368,0.7684,3.7221
2020-07-09,1,2.1045,0.5888,3.456
2020-08-01,1,2.7215,1.2448,4.2514
2020-08-02,1,2.8716,1.4836,4.256
2020-08-03,1,2.8855,1.5017,4.2838
2020-08-04,1,2.8079,1.3191,4.3534
2020-08-05,1,2.9863,1.5736,4.2879
2020-09-01,1,2.4345,0.9425,3.8366
2020-09-02,1,2.6311,1.258,4.0147
2020-09-03,1,2.4864,1.0827,3.9347
2020-09-04,1,2.3288,0.941,3.7189
2020-09-05,1,2.2453,0.6893,3.7314
2020-09-06,1,2.3825,0.8349,3.8891
2020-09-07,1,2.3859,0.9103,3.8244
2020-09-08,1,2.2999,0.8516,3.7879
2020-09-09,1,2.4718,1.1052,3.7836
2020-09-10,1,2.3043,0.9217,3.8053
2020-10-01,1,2.2408,0.7916,3.729
2020-10-02,1,2.1473,0.679,3.6178
2020-10-03,1,2.1337,0.5701,3.6551
2020-10-04,1,2.346,0.7667,3.7624
2020-10-05,1,2.4284,1.0662,3.8225
2020-11-01,1,2.2448,0.8608,3.8205
2020-11-02,1,2.7042,1.1938,4.1889
2020-11-03,1,2.6257,1.1826,4.052
2020-11-04,1,2.8069,1.391,4.2627
2020-11-05,1,2.65,1.161,4.0727
2020-11-06,1,2.4831,1.1133,4.01
2020-11-07,1,2.3931,0.8974,3.8604
2020-12-01,1,1.6856,0.2859,3.1192
2020-12-02,1,1.8733,0.4382,3.2389
2020-12-03,1,1.7279,0.2549,3.1775
2020-12-04,1,1.5778,0.0986,2.9581
2020-12-05,1,1.51,0.0112,2.9208
2020-12-06,1,1.671,0.2951,3.1282
2020-12-07,1,1.7061,0.2475,3.0999
2020-12-08,1,1.6589,0.3447,3.1709
2020-12-09,1,1.8762,0.4925,3.4004
2021-01-01,1,1.7017,0.3724,3.0275
2021-01-02,1,2.1317,0.7583,3.5193
2021-01-03,1,2.2997,0.785,3.8004
2021-01-04,1,2.3352,0.9626,3.8155
2021-01-05,1,2.2823,0.8494,3.6941
2021-01-06,1,2.4877,0.9995,3.929
2021-01-07,1,2.3538,0.873,3.8239
2021-01-08,1,2.209,0.6751,3.6505
2021-01-09,1,2.1402,0.6764,3.6499
2021-01-10,1,2.2942,0.8765,3.6475
2021-01-11,1,2.3163,0.6727,3.6346
2021-01-12,1,2.2506,0.8735,3.6186
2021-01-13,1,2.4441,0.9761,3.8744
2021-01-14,1,2.2991,0.9915,3.7247
2021-01-15,1,2.1441,0.7503,3.5414
2021-01-16,1,2.0662,0.6872,3.5874
2021-01-17,1,2.2124,0.7104,3.6316
2021-01-18,1,2.2281,0.8369,3.6812
2021-02-01,1,2.1743,0.6954,3.7248
2021-02-02,1,2.1364,0.6918,3.5644
2021-02-03,1,2.3626,0.8596,3.8424
2021-02-04,1,2.255,0.7077,3.8288
2021-02-05,1,2.1415,0.6848,3.5842
2021-03-01,1,2.4145,0.9849,3.8516
2021-03-02,1,2.2989,0.9546,3.7088
2021-03-03,1,2.4411,1.1168,3.8322
2021-03-04,1,2.2445,0.8357,3.6785
2021-03-05,1,2.0389,0.5777,3.507
2021-03-06,1,1.9124,0.4798,3.3966
2021-03-07,1,2.0132,0.4921,3.3122
2021-03-08,1,1.9877,0.4384,3.3571
2021-03-09,1,1.8814,0.4591,3.2357
2021-03-10,1,2.0423,0.5901,3.5197
2021-03-11,1,1.8739,0.3818,3.3838
2021-04-01,1,3.3039,1.8669,4.7832
2021-04-02,1,3.258,1.8899,4.6523
2021-04-03,1,3.2812,1.845,4.6965
2021-04-04,1,3.5188,2.0196,4.9417
2021-04-05,1,3.5029,2.1649,4.9513
2021-04-06,1,3.6127,2.1594,5.1274
2021-04-07,1,3.8584,2.4327,5.3774
2021-04-08,1,3.7536,2.3637,5.2916
2021-04-09,1,3.6266,2.207,5.1073
2021-04-10,1,3.5642,2.0787,4.9829
2021-04-11,1,3.7135,2.1913,5.1779
2021-05-01,1,1.6226,0.1289,3.0084
2021-05-02,1,2.3012,0.7793,3.7333
2021-05-03,1,2.294,0.8767,3.7575
2021-05-04,1,2.2066,0.7211,3.6259
2021-05-05,1,2.3854,0.929,3.7027
2021-05-06,1,2.2323,0.7715,3.6562
2021-05-07,1,2.075,0.6592,3.6263
2021-05-08,1,0.9792,0.0,2.386
2021-05-09,1,2.1536,0.821,3.65
2021-05-10,1,2.1802,0.7522,3.6772
2021-05-11,1,2.1233,0.6865,3.6102
2021-05-12,1,2.3292,0.8454,3.7993
2021-05-13,1,2.7191,1.2049,4.2124
2021-05-14,1,2.0628,0.5815,3.5373
2021-05-15,1,2.0051,0.477,3.3987
2021-05-16,1,2.173,0.7072,3.666
2021-05-17,1,2.2115,0.8761,3.7578
2021-06-01,1,2.4637,1.0788,3.9253
2021-06-02,1,2.7065,1.2245,4.1706
2021-06-03,1,2.6137,1.0676,4.1062
2021-06-04,1,2.5131,1.0738,3.8711
2021-06-05,1,2.4911,1.1073,4.0156
2021-06-06,1,2.6937,1.3021,4.1741
2021-06-07,1,2.7653,1.3167,4.3
2021-07-01,1,2.3638,0.8507,3.833
2021-07-02,1,2.1701,0.7367,3.5771
2021-08-01,1,2.9102,1.4883,4.332
2021-08-02,1,2.9315,1.5345,4.3784
2021-08-03,1,2.8604,1.4553,4.239
2021-08-04,1,3.0444,1.6567,4.627
2021-08-05,1,2.8864,1.3684,4.279
2021-09-01,1,2.6639,1.2076,4.1555
2021-09-02,1,2.5239,1.1534,4.0357
2021-09-03,1,2.3711,0.8958,3.8987
2021-09-04,1,2.2923,0.8679,3.7436
2021-09-05,1,2.4341,1.0867,3.8731
2021-09-06,1,2.4419,0.9636,3.8855
2021-09-07,1,2.3597,0.9418,3.8108
2021-09-08,1,2.5349,1.067,3.9922
2021-09-09,1,2.3699,0.9181,3.7534
2021-09-10,1,2.1937,0.6653,3.6259
2021-10-01,1,2.1076,0.661,3.6403
2021-10-02,1,2.0913,0.6811,3.545
2021-10-03,1,2.3018,0.7714,3.6722
2021-10-04,1,2.3835,0.971,3.9293
2021-10-05,1,2.3795,0.9806,3.7604
2021-10-06,1,2.6359,1.2703,4.086
2021-10-07,1,2.5541,1.1388,4.0407
2021-10-08,1,2.4617,0.9597,3.8629
2021-10-09,1,2.4451,1.0225,3.8865
2021-11-01,1,2.2986,0.779,3.7287
2021-11-02,1,2.6717,1.1936,4.1418
2021-11-03,1,2.8539,1.3662,4.3673
2021-12-01,1,1.911,0.5,3.459
2021-12-02,1,1.7602,0.2693,3.1272
2021-12-03,1,1.6046,0.1218,3.0702
2021-12-04,1,1.5313,0.0914,2.9138
2021-12-05,1,1.6868,0.153,3.0645
2021-12-06,1,1.7165,0.3821,3.2166
2021-12-07,1,1.6642,0.2094,3.139
2022-01-01,1,1.6501,0.208,3.0457
2022-01-02,1,2.3051,0.833,3.8408
2022-01-03,1,2.3434,0.8646,3.7603
2022-01-04,1,2.2931,0.8652,3.7829
2022-01-05,1,2.5012,1.0686,4.0353
2022-01-06,1,2.3698,0.9029,3.8445
2022-01-07,1,2.2273,0.8544,3.7315
2022-01-08,1,2.1608,0.7329,3.6349
2022-02-01,1,2.1291,0.7976,3.5478
2022-02-02,1,2.3508,0.956,3.7822
2022-02-03,1,2.2388,0.728,3.6485
2022-02-04,1,2.1213,0.539,3.5478
2022-02-05,1,2.085,0.7046,3.5579
2022-02-06,1,2.2762,0.8083,3.6582
2022-02-07,1,2.3398,0.8438,3.7437
2022-02-08,1,2.3192,0.8946,3.8286
2022-02-09,1,2.5606,1.1623,3.9206
2022-02-10,1,2.4655,0.9246,3.9732
2022-02-11,1,2.3617,0.8255,3.73
2022-02-12,1,2.3352,0.9382,3.8556
2022-02-13,1,2.5319,1.0589,4.0055
2022-02-14,1,2.5961,1.1183,3.9829
2022-02-15,1,2.5711,1.1152,4.0044
2022-02-16,1,2.8028,1.268,4.1592
2022-02-17,1,2.6925,1.1867,4.1846
2022-03-01,1,2.3877,0.9372,3.8427
2022-03-02,1,2.5333,1.0895,3.9799
2022-03-03,1,2.3388,0.8699,3.7366
2022-03-04,1,2.1334,0.7442,3.623
2022-03-05,1,2.0056,0.5381,3.4247
2022-03-06,1,2.1032,0.6802,3.616
2022-03-07,1,2.0729,0.6355,3.5383
2022-03-08,1,1.96,0.4982,3.4189
2022-03-09,1,2.1127,0.5841,3.5991
2022-03-10,1,1.9344,0.3695,3.3349
2022-03-11,1,1.7549,0.3046,3.1525
2022-03-12,1,1.6622,0.2103,3.1374
2022-03-13,1,1.8038,0.4201,3.3229
2022-03-14,1,1.826,0.4213,3.2011
2022-03-15,1,1.7732,0.3762,3.1846
2022-03-16,1,1.9928,0.6007,3.4396
2022-03-17,1,1.8873,0.3709,3.4501
2022-03-18,1,1.785,0.3303,3.1207
2022-03-19,1,1.7726,0.394,3.2572
2022-03-20,1,1.9963,0.6106,3.437
2022-03-21,1,2.1007,0.5881,3.4932
2022-03-22,1,2.1289,0.5721,3.6034
2022-03-23,1,2.4266,0.9659,3.8546
2022-03-24,1,2.3947,1.0194,3.9133
2022-03-25,1,2.3602,0.9011,3.7627
2022-03-26,1,2.4084,0.8818,3.8819
2022-03-27,1,2.6843,1.1887,4.2095
2022-03-28,1,2.8314,1.3814,4.2282
2022-04-01,1,3.1516,1.7315,4.5615
2022-04-02,1,3.1856,1.6887,4.5704
2022-04-03,1,3.4356,1.9623,4.8053
2022-04-04,1,3.5456,2.1756,4.9292
2022-04-05,1,3.5583,2.0767,5.0349
2022-04-06,1,3.8196,2.291,5.2964
2022-04-07,1,3.7311,2.3832,5.1352
2022-04-08,1,3.6206,2.1893,5.0302
2022-04-09,1,3.5748,2.0685,5.0134
2022-04-10,1,3.7402,2.3451,5.088
2022-04-11,1,3.7624,2.3137,5.2704
2022-04-12,1,3.6857,2.2376,5.2417
2022-04-13,1,3.8575,2.4438,5.2787
2022-04-14,1,3.6809,2.2389,5.0665
2022-05-01,1,1.8092,0.2634,3.2019
2022-05-02,1,2.3559,0.8576,3.8235
2022-05-03,1,2.2608,0.8759,3.6578
2022-05-04,1,2.4323,0.9796,3.8044
2022-05-05,1,2.2724,0.916,3.6157
2022-05-06,1,2.1089,0.596,3.5693
2022-05-07,1,2.0284,0.6051,3.4252
2022-05-08,1,1.156,0.0,2.6263
2022-05-09,1,2.1992,0.8082,3.565
2022-06-01,1,2.6722,1.1662,4.0237
2022-06-02,1,2.5772,1.0757,4.0681
2022-06-03,1,2.4749,1.0709,3.9912
2022-06-04,1,2.452,1.0045,3.8963
2022-06-05,1,2.6544,1.1925,4.071
2022-06-06,1,2.7425,1.0771,4.0811
2022-06-07,1,2.7122,1.1977,4.166
2022-06-08,1,2.957,1.4724,4.4097
2022-06-09,1,2.8625,1.413,4.2897
2022-06-10,1,2.7562,1.2906,4.1884
2022-06-11,1,2.7242,1.2785,4.0957
2022-06-12,1,2.9124,1.3968,4.3596
2022-06-13,1,2.9653,1.465,4.4429
2022-06-14,1,2.9261,1.4493,4.4485
2022-06-15,1,3.1412,1.704,4.5459
2022-06-16,1,3.0123,1.4739,4.4488
2022-06-17,1,2.8672,1.5324,4.2678
2022-06-18,1,2.7929,1.3402,4.2633
2022-06-19,1,2.9358,1.6157,4.4155
2022-06-20,1,2.9413,1.516,4.4103
2022-06-21,1,2.8536,1.3474,4.3298
2022-06-22,1,3.0199,1.5352,4.569
2022-06-23,1,2.843,1.2871,4.3087
2022-06-24,1,2.652,1.1567,4.1099
2022-07-01,1,2.248,0.7385,3.6612
2022-07-02,1,2.1312,0.6788,3.5827
2022-07-03,1,2.2436,0.7544,3.7259
2022-07-04,1,2.2314,0.8425,3.5351
2022-07-05,1,2.1394,0.6717,3.6204
2022-07-06,1,2.3153,0.9745,3.7722
2022-07-07,1,2.1616,0.7789,3.6503
2022-07-08,1,2.0073,0.4856,3.5075
2022-07-09,1,1.9394,0.5061,3.3853
2022-07-10,1,2.1047,0.6765,3.611
2022-08-01,1,2.9536,1.4688,4.4831
2022-08-02,1,2.8901,1.4476,4.3752
2022-08-03,1,3.0809,1.5878,4.5611
2022-08-04,1,2.9289,1.5164,4.5131
2022-08-05,1,2.7629,1.2978,4.1133
2022-08-06,1,2.6708,1.2817,4.126
2022-08-07,1,2.8001,1.423,4.2946
2022-08-08,1,2.7967,1.3647,4.2293
2022-08-09,1,2.7057,1.1937,4.1089
2022-08-10,1,2.8747,1.3504,4.3572
2022-09-01,1,2.5433,0.9934,3.9975
2022-09-02,1,2.3951,1.0186,3.9351
2022-09-03,1,2.3212,0.8017,3.7972
2022-09-04,1,2.4679,1.0232,3.9404
2022-09-05,1,2.4804,0.9773,3.911
2022-09-06,1,2.4027,0.9657,3.8793
2022-09-07,1,2.5819,1.085,3.9898
2022-09-08,1,2.4205,1.0047,3.8171
2022-09-09,1,2.2471,0.884,3.7223
2022-10-01,1,2.0424,0.5696,3.4647
2022-10-02,1,2.25,0.7733,3.6489
2022-10-03,1,2.3297,0.9497,3.8905
2022-10-04,1,2.3247,0.869,3.7867
2022-10-05,1,2.5811,1.0005,4.0295
2022-10-06,1,2.5003,0.9547,3.9816
2022-10-07,1,2.4097,0.8835,3.882
2022-10-08,1,2.3957,0.8572,3.7812
2022-10-09,1,2.6041,1.1767,3.975
2022-10-10,1,2.6796,1.3169,4.1744
2022-10-11,1,2.6656,1.1908,4.0858
2022-10-12,1,2.9085,1.401,4.3371
2022-11-01,1,2.2574,0.8544,3.7794
2022-11-02,1,2.8912,1.3905,4.3336
2022-11-03,1,2.7361,1.2293,4.0964
2022-11-04,1,2.5713,0.9944,4.0722
2022-11-05,1,2.4836,1.0295,3.9816
2022-11-06,1,2.6196,1.1282,4.0839
2022-11-07,1,2.6242,1.1047,4.0547
2022-11-08,1,2.5415,1.0541,3.9982
2022-11-09,1,2.718,1.2439,4.062
2022-12-01,1,1.792,0.3736,3.2666
2022-12-02,1,1.6311,0.1377,3.0513
2022-12-03,1,1.5524,0.0268,2.946
2022-12-04,1,1.7025,0.2188,3.1986
2022-12-05,1,1.7266,0.3133,3.107
2022-12-06,1,1.6689,0.2913,3.173
2022-12-07,1,1.8759,0.4212,3.4184
2022-12-08,1,1.7499,0.3248,3.2436
2022-12-09,1,1.6188,0.1149,3.0091
2022-12-10,1,1.5695,0.0445,3.0523
2022-12-11,1,1.7482,0.2611,3.1629
2022-12-12,1,1.7999,0.3798,3.2659
2022-12-13,1,1.7681,0.2959,3.168
2022-12-14,1,1.9992,0.5499,3.4788
2022-12-15,1,1.8951,0.3221,3.3511
2022-12-16,1,1.7835,0.258,3.1734
2022-12-17,1,1.7511,0.3337,3.1827
2022-12-18,1,1.944,0.5366,3.5157
2022-12-19,1,2.007,0.4518,3.3816
2022-12-20,1,1.9837,0.4923,3.4939
2022-12-21,1,2.2205,0.7336,3.6103
2022-12-22,1,2.1192,0.5687,3.6787
2022-12-23,1,2.0079,0.5767,3.5721
2022-12-24,1,1.9732,0.5276,3.3884
2022-12-25,1,2.1614,0.6601,3.5057
2022-12-26,1,2.2177,0.7874,3.6525
2022-12-27,1,2.1857,0.7759,3.6776
2022-12-28,1,2.4122,1.0196,3.9039
2022-12-29,1,2.2992,0.9322,3.8155
2022-12-30,1,2.1749,0.7518,3.5755
2022-12-31,1,2.1263,0.5893,3.5879
2023-01-01,1,1.8157,0.419,3.2061
2023-01-02,1,2.341,0.8913,3.8551
2023-01-03,1,2.2935,0.9305,3.8448
2023-01-04,1,2.5043,1.0259,3.9109
2023-01-05,1,2.3755,0.9272,3.8572
2023-01-06,1,2.2356,0.6632,3.6376
2023-01-07,1,2.1715,0.6495,3.467
2023-01-08,1,2.33,0.7704,3.7765
2023-01-09,1,2.3564,0.9875,3.7617
2023-01-10,1,2.2946,0.9914,3.8203
2023-01-11,1,2.4916,1.0219,3.9344
2023-01-12,1,2.3498,0.8978,3.7081
2023-01-13,1,2.1975,0.8159,3.5721
2023-01-14,1,2.1219,0.8288,3.5182
2023-01-15,1,2.2698,0.9341,3.7317
2023-01-16,1,2.2866,0.9171,3.6976
2019-01-01,2,2.1112,0.968,3.1977
2019-01-02,2,1.7683,0.6614,2.9179
2019-01-03,2,1.8754,0.7284,2.9798
2019-01-04,2,1.8286,0.6257,2.972
2019-01-05,2,2.0266,0.8704,3.1526
2019-01-06,2,2.0631,0.8805,3.1264
2019-01-07,2,2.147,0.911,3.2736
2019-01-08,2,2.1889,0.9423,3.3753
2019-02-01,2,1.5955,0.4859,2.8031
2019-02-02,2,1.7567,0.5912,2.9982
2019-02-03,2,1.7678,0.6537,2.8397
2019-02-04,2,1.8382,0.6326,2.9359
2019-02-05,2,1.8788,0.7356,3.0457
2019-02-06,2,1.8024,0.6177,2.9568
2019-02-07,2,1.8945,0.7621,2.9961
2019-02-08,2,1.8376,0.6327,2.9862
2019-02-09,2,2.0305,0.8761,3.1824
2019-02-10,2,2.0671,0.8761,3.1454
2019-02-11,2,2.1565,1.0128,3.3234
2019-02-12,2,2.2091,1.0473,3.3109
2019-02-13,2,2.1376,0.9957,3.2261
2019-03-01,2,2.2144,1.0092,3.3486
2019-03-02,2,2.3418,1.183,3.6015
2019-03-03,2,2.3132,1.1591,3.4876
2019-03-04,2,2.3393,1.112,3.4069
2019-03-05,2,2.3322,1.2005,3.4938
2019-04-01,2,2.7234,1.5374,3.8594
2019-04-02,2,2.7269,1.4826,3.9583
2019-04-03,2,2.606,1.4354,3.847
2019-04-04,2,2.6475,1.5259,3.7832
2019-04-05,2,2.5348,1.3556,3.7115
2019-04-06,2,2.6684,1.5079,3.8452
2019-04-07,2,2.6432,1.5033,3.896
2019-04-08,2,2.6696,1.4927,3.9126
2019-04-09,2,2.6592,1.4004,3.73
2019-04-10,2,2.5258,1.417,3.7808
2019-04-11,2,2.5563,1.2858,3.6733
2019-04-12,2,2.434,1.2841,3.5839
2019-04-13,2,2.5592,1.2944,3.6106
2019-04-14,2,2.5269,1.4402,3.6371
2019-04-15,2,2.5473,1.3972,3.6941
2019-04-16,2,2.532,1.41,3.6842
2019-05-01,2,2.1931,1.0769,3.4143
2019-05-02,2,2.2162,1.1405,3.3294
2019-05-03,2,2.1111,1.0149,3.3326
2019-05-04,2,2.2573,1.1131,3.4847
2019-05-05,2,2.2497,1.1367,3.4107
2019-05-06,2,2.2986,1.1982,3.4936
2019-05-07,2,2.3154,1.0845,3.4336
2019-05-08,2,1.9456,0.7715,3.1203
2019-05-09,2,2.2798,1.1114,3.5108
2019-05-10,2,2.1969,1.0413,3.3638
2019-05-11,2,2.3649,1.1866,3.5091
2019-05-12,2,2.378,1.2577,3.4611
2019-05-13,2,2.446,1.2811,3.6363
2019-05-14,2,2.4798,1.3139,3.5809
2019-07-01,2,2.7635,1.6259,4.0184
2019-07-02,2,2.7883,1.6465,3.8729
2019-07-03,2,2.6827,1.5474,3.8138
2019-08-01,2,2.0839,0.8803,3.133
2019-08-02,2,2.0414,0.8617,3.2077
2019-08-03,2,2.2498,1.1301,3.4481
2019-08-04,2,2.3024,1.1828,3.4826
2019-08-05,2,2.4078,1.2043,3.6319
2019-08-06,2,2.4761,1.333,3.5611
2019-08-07,2,2.4195,1.2453,3.5691
2019-08-08,2,2.5231,1.3126,3.6959
2019-08-09,2,2.4693,1.2891,3.5025
2019-08-10,2,2.6573,1.5345,3.7597
2019-09-01,2,2.4717,1.2443,3.6225
2019-09-02,2,2.5264,1.3201,3.6535
2019-10-01,2,2.5001,1.3114,3.7128
2019-10-02,2,2.3745,1.2022,3.5958
2019-10-03,2,2.4235,1.2236,3.553
2019-10-04,2,2.3315,1.1777,3.4906
2019-10-05,2,2.4989,1.3433,3.6409
2019-10-06,2,2.5207,1.3925,3.6508
2019-10-07,2,2.607,1.4663,3.6812
2019-10-08,2,2.6686,1.424,3.8509
2019-10-09,2,2.6186,1.4042,3.7391
2019-10-10,2,2.7424,1.5809,3.9842
2019-10-11,2,2.7218,1.592,3.9346
2019-10-12,2,2.9555,1.7816,4.1675
