time_sk,zone_sk,line_sk,hour,annule,annule_pred,annule_proba,risk_label,generated_at
9118,9,5,21,0,0,0.001,Low,2026-04-04 09:56:33 UTC
8465,8,11,16,0,0,0.2102,Medium,2026-04-04 09:56:33 UTC
31478,7,14,13,0,0,0.1347,Low,2026-04-04 09:56:33 UTC
6195,5,15,2,0,0,0.0036,Low,2026-04-04 09:56:33 UTC
27706,9,9,9,0,0,0.0433,Low,2026-04-04 09:56:33 UTC
11692,6,13,3,0,0,0.0013,Low,2026-04-04 09:56:33 UTC
17842,3,15,9,0,0,0.0177,Low,2026-04-04 09:56:33 UTC
34338,1,14,17,0,0,0.0545,Low,2026-04-04 09:56:33 UTC
11481,8,5,8,0,0,0.0588,Low,2026-04-04 09:56:33 UTC
6456,7,1,23,0,0,0.0009,Low,2026-04-04 09:56:33 UTC
7313,4,2,16,0,0,0.0119,Low,2026-04-04 09:56:33 UTC
4242,10,8,17,0,0,0.0414,Low,2026-04-04 09:56:33 UTC
33224,9,14,7,0,0,0.0047,Low,2026-04-04 09:56:33 UTC
27331,3,1,18,0,0,0.0005,Low,2026-04-04 09:56:33 UTC
33914,10,13,1,0,0,0.0019,Low,2026-04-04 09:56:33 UTC
14274,10,5,17,0,0,0.0013,Low,2026-04-04 09:56:33 UTC
13591,9,7,6,0,0,0.0021,Low,2026-04-04 09:56:33 UTC
33162,1,1,17,0,0,0.0004,Low,2026-04-04 09:56:33 UTC
28023,4,4,14,0,0,0.002,Low,2026-04-04 09:56:33 UTC
14551,5,3,6,0,0,0.0003,Low,2026-04-04 09:56:33 UTC
29411,1,2,10,0,0,0.008,Low,2026-04-04 09:56:33 UTC
14042,6,13,1,0,0,0.0267,Low,2026-04-04 09:56:33 UTC
7785,4,12,8,0,0,0.2072,Medium,2026-04-04 09:56:33 UTC
2468,3,13,19,0,0,0.0212,Low,2026-04-04 09:56:33 UTC
30263,1,4,22,0,0,0.1451,Low,2026-04-04 09:56:33 UTC
11302,10,1,21,0,0,0.0003,Low,2026-04-04 09:56:33 UTC
34068,8,2,11,0,0,0.0333,Low,2026-04-04 09:56:33 UTC
8364,1,2,11,0,0,0.0196,Low,2026-04-04 09:56:33 UTC
12561,2,7,8,0,0,0.2629,Medium,2026-04-04 09:56:33 UTC
9278,7,12,13,0,0,0.0375,Low,2026-04-04 09:56:33 UTC
33345,2,5,8,1,0,0.0763,Low,2026-04-04 09:56:33 UTC
10821,5,3,20,0,0,0.0051,Low,2026-04-04 09:56:33 UTC
26001,6,14,8,0,0,0.0612,Low,2026-04-04 09:56:33 UTC
30137,6,15,16,0,0,0.1711,Low,2026-04-04 09:56:33 UTC
3293,3,14,4,0,0,0.0075,Low,2026-04-04 09:56:33 UTC
17024,2,10,7,0,0,0.0204,Low,2026-04-04 09:56:33 UTC
14921,3,7,16,1,1,0.9071,High,2026-04-04 09:56:33 UTC
19100,8,7,19,0,0,0.0699,Low,2026-04-04 09:56:33 UTC
19100,6,7,19,0,0,0.1663,Low,2026-04-04 09:56:33 UTC
3949,6,5,12,0,0,0.4429,Medium,2026-04-04 09:56:33 UTC
3778,10,15,9,0,0,0.0023,Low,2026-04-04 09:56:33 UTC
579,2,10,2,0,0,0.1348,Low,2026-04-04 09:56:33 UTC
16202,5,14,1,0,0,0.0056,Low,2026-04-04 09:56:33 UTC
4054,3,9,21,0,0,0.2551,Medium,2026-04-04 09:56:33 UTC
1118,6,15,13,0,0,0.0259,Low,2026-04-04 09:56:33 UTC
26972,4,2,19,0,0,0.0092,Low,2026-04-04 09:56:33 UTC
27359,3,14,22,0,0,0.0067,Low,2026-04-04 09:56:33 UTC
31753,5,4,0,0,1,0.502,High,2026-04-04 09:56:33 UTC
8114,4,14,1,0,0,0.0255,Low,2026-04-04 09:56:33 UTC
24173,2,1,4,0,0,0.0017,Low,2026-04-04 09:56:33 UTC
9118,9,4,21,0,0,0.0035,Low,2026-04-04 09:56:33 UTC
30636,1,8,11,0,0,0.1973,Low,2026-04-04 09:56:33 UTC
7266,5,9,17,0,0,0.069,Low,2026-04-04 09:56:33 UTC
18215,9,14,22,0,0,0.0061,Low,2026-04-04 09:56:33 UTC
16743,9,5,14,0,0,0.102,Low,2026-04-04 09:56:33 UTC
3888,9,11,23,0,0,0.0071,Low,2026-04-04 09:56:33 UTC
28359,10,5,14,0,0,0.0115,Low,2026-04-04 09:56:33 UTC
16702,6,5,21,0,0,0.0256,Low,2026-04-04 09:56:33 UTC
33901,3,9,12,0,0,0.1744,Low,2026-04-04 09:56:33 UTC
34431,3,2,14,0,0,0.0163,Low,2026-04-04 09:56:33 UTC
12151,2,8,6,0,0,0.1765,Low,2026-04-04 09:56:33 UTC
14625,5,7,8,0,0,0.266,Medium,2026-04-04 09:56:33 UTC
33946,1,7,9,0,0,0.0343,Low,2026-04-04 09:56:33 UTC
23400,5,1,23,0,0,0.0005,Low,2026-04-04 09:56:33 UTC
18215,9,1,22,0,0,1e-04,Low,2026-04-04 09:56:33 UTC
23024,10,10,7,0,0,0.0461,Low,2026-04-04 09:56:33 UTC
10002,4,13,17,0,0,0.1359,Low,2026-04-04 09:56:33 UTC
34710,7,4,5,0,0,0.1673,Low,2026-04-04 09:56:33 UTC
25010,2,13,1,0,0,0.1756,Low,2026-04-04 09:56:33 UTC
13218,7,5,17,0,0,0.0088,Low,2026-04-04 09:56:33 UTC
13218,7,15,17,0,0,0.0087,Low,2026-04-04 09:56:33 UTC
18702,4,5,5,0,0,0.0626,Low,2026-04-04 09:56:33 UTC
27283,9,15,18,0,0,0.0247,Low,2026-04-04 09:56:33 UTC
30646,1,11,21,0,0,0.0351,Low,2026-04-04 09:56:33 UTC
16950,5,4,5,1,1,0.957,High,2026-04-04 09:56:33 UTC
16950,8,4,5,1,1,0.9446,High,2026-04-04 09:56:33 UTC
14479,9,15,6,0,0,0.0392,Low,2026-04-04 09:56:33 UTC
6451,10,10,18,0,0,0.0204,Low,2026-04-04 09:56:33 UTC
9536,10,1,7,0,0,0.2112,Medium,2026-04-04 09:56:33 UTC
34435,1,14,18,0,0,0.0137,Low,2026-04-04 09:56:33 UTC
18535,10,15,6,0,0,0.0295,Low,2026-04-04 09:56:33 UTC
999,6,5,14,0,0,0.0405,Low,2026-04-04 09:56:33 UTC
22180,3,12,3,0,0,0.0032,Low,2026-04-04 09:56:33 UTC
22180,7,12,3,0,0,0.0375,Low,2026-04-04 09:56:33 UTC
24026,10,15,1,0,0,0.0013,Low,2026-04-04 09:56:33 UTC
5313,6,1,8,0,0,0.0036,Low,2026-04-04 09:56:33 UTC
5313,8,1,8,0,0,0.0004,Low,2026-04-04 09:56:33 UTC
6451,10,8,18,0,0,0.0803,Low,2026-04-04 09:56:33 UTC
2325,3,15,20,0,0,0.0049,Low,2026-04-04 09:56:33 UTC
22074,6,3,17,0,0,0.0009,Low,2026-04-04 09:56:33 UTC
33881,3,2,16,0,0,0.0059,Low,2026-04-04 09:56:33 UTC
11064,8,12,23,0,0,0.1446,Low,2026-04-04 09:56:33 UTC
4345,8,5,0,0,0,0.0051,Low,2026-04-04 09:56:33 UTC
23400,5,3,23,0,0,0.0021,Low,2026-04-04 09:56:33 UTC
26602,5,2,9,0,0,0.0125,Low,2026-04-04 09:56:33 UTC
24385,1,2,0,0,0,0.0013,Low,2026-04-04 09:56:33 UTC
25602,7,3,17,0,0,0.0023,Low,2026-04-04 09:56:33 UTC
2959,10,3,6,0,0,0.047,Low,2026-04-04 09:56:33 UTC
32449,10,7,0,0,0,0.0028,Low,2026-04-04 09:56:33 UTC
26772,3,12,11,0,0,0.3288,Medium,2026-04-04 09:56:33 UTC
4054,3,14,21,0,0,0.3097,Medium,2026-04-04 09:56:33 UTC
11414,5,11,13,0,0,0.0308,Low,2026-04-04 09:56:33 UTC
15620,4,8,19,0,0,0.0047,Low,2026-04-04 09:56:33 UTC
20210,7,10,1,0,0,0.0022,Low,2026-04-04 09:56:33 UTC
16097,3,10,16,0,0,0.1014,Low,2026-04-04 09:56:33 UTC
28657,4,8,0,0,0,0.0027,Low,2026-04-04 09:56:33 UTC
33434,3,11,1,0,0,0.0858,Low,2026-04-04 09:56:33 UTC
21114,10,8,17,0,0,0.0198,Low,2026-04-04 09:56:33 UTC
8277,1,13,20,0,0,0.1261,Low,2026-04-04 09:56:33 UTC
25417,2,1,0,0,0,0.0007,Low,2026-04-04 09:56:33 UTC
15442,6,13,9,0,0,0.0556,Low,2026-04-04 09:56:33 UTC
4320,3,2,23,0,0,0.0019,Low,2026-04-04 09:56:33 UTC
11477,10,10,4,1,1,0.948,High,2026-04-04 09:56:33 UTC
18108,1,13,11,0,0,0.0198,Low,2026-04-04 09:56:33 UTC
13226,6,10,1,0,0,0.0823,Low,2026-04-04 09:56:33 UTC
30334,5,10,21,0,0,0.0216,Low,2026-04-04 09:56:33 UTC
898,7,1,9,0,0,0.0063,Low,2026-04-04 09:56:33 UTC
19620,7,9,11,0,0,0.0259,Low,2026-04-04 09:56:33 UTC
22874,9,14,1,0,0,0.0191,Low,2026-04-04 09:56:33 UTC
26653,3,13,12,1,1,0.8855,High,2026-04-04 09:56:33 UTC
14441,3,11,16,0,0,0.0276,Low,2026-04-04 09:56:33 UTC
2871,6,3,14,0,0,0.0055,Low,2026-04-04 09:56:33 UTC
18390,9,3,5,0,0,0.0021,Low,2026-04-04 09:56:33 UTC
25253,6,5,4,0,0,0.018,Low,2026-04-04 09:56:33 UTC
5757,3,3,20,0,0,0.0061,Low,2026-04-04 09:56:33 UTC
7982,6,8,13,0,0,0.1927,Low,2026-04-04 09:56:33 UTC
17751,6,4,14,0,0,0.0178,Low,2026-04-04 09:56:33 UTC
2919,6,3,14,0,0,0.0275,Low,2026-04-04 09:56:33 UTC
32082,4,2,17,0,0,0.0364,Low,2026-04-04 09:56:33 UTC
26859,10,12,2,0,0,0.02,Low,2026-04-04 09:56:33 UTC
8523,1,4,2,0,0,0.0095,Low,2026-04-04 09:56:33 UTC
12515,3,7,10,0,0,0.0504,Low,2026-04-04 09:56:33 UTC
22953,7,4,8,0,0,0.2888,Medium,2026-04-04 09:56:33 UTC
23741,3,11,4,0,0,0.2446,Medium,2026-04-04 09:56:33 UTC
30772,8,1,3,0,0,1e-04,Low,2026-04-04 09:56:33 UTC
1497,8,5,8,0,0,0.0272,Low,2026-04-04 09:56:33 UTC
7705,5,9,0,0,0,0.0489,Low,2026-04-04 09:56:33 UTC
2086,6,4,21,0,0,0.0234,Low,2026-04-04 09:56:33 UTC
11524,2,2,3,0,0,0.0007,Low,2026-04-04 09:56:33 UTC
32847,8,5,14,0,0,0.0113,Low,2026-04-04 09:56:33 UTC
22257,1,4,8,0,0,0.0675,Low,2026-04-04 09:56:33 UTC
16097,3,1,16,0,0,0.0057,Low,2026-04-04 09:56:33 UTC
25253,6,12,4,0,0,0.001,Low,2026-04-04 09:56:33 UTC
3576,3,14,23,0,0,0.0567,Low,2026-04-04 09:56:33 UTC
18122,3,2,1,0,0,0.024,Low,2026-04-04 09:56:33 UTC
18627,8,2,2,0,0,0.0,Low,2026-04-04 09:56:33 UTC
3197,6,11,4,0,0,0.0018,Low,2026-04-04 09:56:33 UTC
26062,3,10,21,0,0,0.1222,Low,2026-04-04 09:56:33 UTC
3325,1,5,12,0,0,0.0061,Low,2026-04-04 09:56:33 UTC
3570,2,10,17,0,0,0.1143,Low,2026-04-04 09:56:33 UTC
21699,10,5,2,0,0,0.0039,Low,2026-04-04 09:56:33 UTC
31632,5,13,23,0,0,0.0094,Low,2026-04-04 09:56:33 UTC
10717,4,1,12,0,0,0.0004,Low,2026-04-04 09:56:33 UTC
4564,9,15,3,0,0,0.0256,Low,2026-04-04 09:56:33 UTC
8525,5,4,4,0,0,0.3484,Medium,2026-04-04 09:56:33 UTC
26844,1,9,11,0,0,0.0079,Low,2026-04-04 09:56:33 UTC
12827,6,14,10,0,0,0.0023,Low,2026-04-04 09:56:33 UTC
31343,9,10,22,1,1,0.9544,High,2026-04-04 09:56:33 UTC
5616,5,8,23,0,0,0.328,Medium,2026-04-04 09:56:33 UTC
15336,8,1,23,0,0,0.0092,Low,2026-04-04 09:56:33 UTC
20657,2,15,16,0,0,0.1003,Low,2026-04-04 09:56:33 UTC
26213,10,3,4,0,0,0.0002,Low,2026-04-04 09:56:33 UTC
8869,1,5,12,0,0,0.144,Low,2026-04-04 09:56:33 UTC
13539,1,15,2,0,0,0.0014,Low,2026-04-04 09:56:33 UTC
28402,1,3,9,0,0,0.0271,Low,2026-04-04 09:56:33 UTC
4617,4,10,8,0,0,1e-04,Low,2026-04-04 09:56:33 UTC
34051,10,8,18,0,0,0.0175,Low,2026-04-04 09:56:33 UTC
3028,2,14,3,0,0,0.0055,Low,2026-04-04 09:56:33 UTC
1589,9,10,4,0,0,0.132,Low,2026-04-04 09:56:33 UTC
28372,1,15,3,0,0,0.0002,Low,2026-04-04 09:56:33 UTC
26062,3,5,21,0,0,0.0166,Low,2026-04-04 09:56:33 UTC
29212,10,8,3,0,0,0.0342,Low,2026-04-04 09:56:33 UTC
6801,3,11,8,0,0,0.0186,Low,2026-04-04 09:56:33 UTC
28821,6,4,20,0,0,0.0015,Low,2026-04-04 09:56:33 UTC
34113,8,8,8,0,0,0.0175,Low,2026-04-04 09:56:33 UTC
21128,7,15,7,0,0,0.0046,Low,2026-04-04 09:56:33 UTC
32016,8,9,23,0,0,0.0044,Low,2026-04-04 09:56:33 UTC
4242,10,1,17,0,0,0.0012,Low,2026-04-04 09:56:33 UTC
4714,6,15,9,0,0,0.0183,Low,2026-04-04 09:56:33 UTC
8626,7,5,9,0,0,0.1221,Low,2026-04-04 09:56:33 UTC
33379,8,5,18,0,0,0.0205,Low,2026-04-04 09:56:33 UTC
29334,8,2,5,0,0,0.0657,Low,2026-04-04 09:56:33 UTC
14441,3,13,16,0,0,0.0939,Low,2026-04-04 09:56:33 UTC
6681,5,14,8,0,0,0.0041,Low,2026-04-04 09:56:33 UTC
13936,9,3,15,0,0,0.0059,Low,2026-04-04 09:56:33 UTC
5658,3,8,17,0,0,0.0438,Low,2026-04-04 09:56:33 UTC
7983,9,10,14,0,0,0.054,Low,2026-04-04 09:56:33 UTC
32068,8,9,3,0,0,0.0265,Low,2026-04-04 09:56:33 UTC
29212,10,10,3,0,0,0.0203,Low,2026-04-04 09:56:33 UTC
11259,1,13,2,0,0,0.129,Low,2026-04-04 09:56:33 UTC
17401,2,1,0,0,0,0.001,Low,2026-04-04 09:56:33 UTC
15409,10,4,0,0,0,0.0862,Low,2026-04-04 09:56:33 UTC
14466,9,15,17,0,0,0.0063,Low,2026-04-04 09:56:33 UTC
28890,1,9,17,0,0,0.1925,Low,2026-04-04 09:56:33 UTC
20569,1,1,0,0,0,0.0106,Low,2026-04-04 09:56:33 UTC
13592,2,2,7,0,0,0.0176,Low,2026-04-04 09:56:33 UTC
28896,6,15,23,0,0,0.2321,Medium,2026-04-04 09:56:33 UTC
11051,8,13,10,0,0,0.0296,Low,2026-04-04 09:56:33 UTC
33885,10,13,20,0,0,0.0023,Low,2026-04-04 09:56:33 UTC
33885,9,13,20,0,0,0.1037,Low,2026-04-04 09:56:33 UTC
20810,8,5,1,0,0,0.0033,Low,2026-04-04 09:56:33 UTC
10179,8,1,2,0,0,0.0049,Low,2026-04-04 09:56:33 UTC
8339,7,15,10,0,0,0.0014,Low,2026-04-04 09:56:33 UTC
34095,7,5,14,0,0,0.0708,Low,2026-04-04 09:56:33 UTC
32607,5,12,14,0,0,0.1054,Low,2026-04-04 09:56:33 UTC
11269,4,10,12,0,0,0.0361,Low,2026-04-04 09:56:33 UTC
23563,10,13,18,0,0,0.017,Low,2026-04-04 09:56:33 UTC
19015,7,4,6,0,0,0.1598,Low,2026-04-04 09:56:33 UTC
15542,2,4,13,0,0,0.1211,Low,2026-04-04 09:56:33 UTC
27689,7,2,16,0,0,0.0287,Low,2026-04-04 09:56:33 UTC
18688,9,3,15,0,0,0.0112,Low,2026-04-04 09:56:33 UTC
1489,10,15,0,0,0,0.0033,Low,2026-04-04 09:56:33 UTC
12557,6,5,4,0,0,0.0006,Low,2026-04-04 09:56:33 UTC
11672,7,4,7,0,0,0.2556,Medium,2026-04-04 09:56:33 UTC
9995,3,2,10,0,0,0.0522,Low,2026-04-04 09:56:33 UTC
8710,6,2,21,0,0,0.0088,Low,2026-04-04 09:56:33 UTC
10169,3,5,16,0,0,0.0206,Low,2026-04-04 09:56:33 UTC
28542,5,9,5,0,0,0.2308,Medium,2026-04-04 09:56:33 UTC
2433,2,13,8,0,0,0.4989,Medium,2026-04-04 09:56:33 UTC
34845,6,11,20,0,0,0.1483,Low,2026-04-04 09:56:33 UTC
13245,10,3,20,0,0,0.0035,Low,2026-04-04 09:56:33 UTC
13718,2,12,13,0,0,0.1039,Low,2026-04-04 09:56:33 UTC
2054,8,11,13,0,0,0.2418,Medium,2026-04-04 09:56:33 UTC
24477,8,11,20,0,0,0.0032,Low,2026-04-04 09:56:33 UTC
14946,4,13,17,0,0,0.0684,Low,2026-04-04 09:56:33 UTC
27884,9,1,19,0,0,0.0101,Low,2026-04-04 09:56:33 UTC
31453,8,2,12,0,0,0.0363,Low,2026-04-04 09:56:33 UTC
13282,3,5,9,0,0,0.1321,Low,2026-04-04 09:56:33 UTC
23024,10,14,7,0,0,0.2269,Medium,2026-04-04 09:56:33 UTC
25021,7,1,12,0,0,0.0007,Low,2026-04-04 09:56:33 UTC
23854,1,12,21,0,0,0.1341,Low,2026-04-04 09:56:33 UTC
19393,10,15,0,0,0,0.0044,Low,2026-04-04 09:56:33 UTC
5848,1,15,15,0,0,0.0007,Low,2026-04-04 09:56:33 UTC
6909,9,12,20,0,0,0.0065,Low,2026-04-04 09:56:33 UTC
19331,8,9,10,0,0,0.0153,Low,2026-04-04 09:56:33 UTC
31055,5,14,22,0,0,0.0009,Low,2026-04-04 09:56:33 UTC
8528,4,14,7,0,0,0.0146,Low,2026-04-04 09:56:33 UTC
25073,7,5,16,0,0,0.045,Low,2026-04-04 09:56:33 UTC
11064,8,7,23,0,0,0.0065,Low,2026-04-04 09:56:33 UTC
21131,3,5,10,0,0,0.1093,Low,2026-04-04 09:56:33 UTC
11576,3,11,7,0,0,0.0069,Low,2026-04-04 09:56:33 UTC
28040,2,8,7,0,0,0.0531,Low,2026-04-04 09:56:33 UTC
19360,2,5,15,0,0,0.0759,Low,2026-04-04 09:56:33 UTC
20750,2,1,13,0,0,0.0056,Low,2026-04-04 09:56:33 UTC
26791,7,12,6,0,0,0.0426,Low,2026-04-04 09:56:33 UTC
33345,2,2,8,0,0,0.0724,Low,2026-04-04 09:56:33 UTC
17469,5,13,20,0,0,0.0181,Low,2026-04-04 09:56:33 UTC
4759,10,13,6,0,0,0.0006,Low,2026-04-04 09:56:33 UTC
5648,2,5,7,0,0,0.0535,Low,2026-04-04 09:56:33 UTC
34489,6,1,0,0,0,0.0165,Low,2026-04-04 09:56:33 UTC
5499,5,5,2,0,0,0.0115,Low,2026-04-04 09:56:33 UTC
5751,7,7,14,0,0,0.1302,Low,2026-04-04 09:56:33 UTC
4599,1,5,14,0,0,0.011,Low,2026-04-04 09:56:33 UTC
1184,1,4,7,0,0,0.063,Low,2026-04-04 09:56:33 UTC
30833,10,5,16,0,0,0.0119,Low,2026-04-04 09:56:33 UTC
11114,7,4,1,0,0,0.0326,Low,2026-04-04 09:56:33 UTC
23596,8,15,3,0,0,0.0371,Low,2026-04-04 09:56:33 UTC
34045,6,9,12,0,0,0.0646,Low,2026-04-04 09:56:33 UTC
28177,1,11,0,0,0,0.0076,Low,2026-04-04 09:56:33 UTC
16870,10,4,21,0,0,0.007,Low,2026-04-04 09:56:33 UTC
32578,1,11,9,0,0,0.0222,Low,2026-04-04 09:56:33 UTC
33817,6,11,0,0,0,0.0179,Low,2026-04-04 09:56:33 UTC
7152,5,10,23,0,0,0.4121,Medium,2026-04-04 09:56:33 UTC
12660,1,13,11,0,0,0.0028,Low,2026-04-04 09:56:33 UTC
21616,7,4,15,0,0,0.0049,Low,2026-04-04 09:56:33 UTC
12312,6,14,23,0,0,0.0082,Low,2026-04-04 09:56:33 UTC
6909,9,2,20,0,0,0.0111,Low,2026-04-04 09:56:33 UTC
4997,3,10,4,0,0,0.2084,Medium,2026-04-04 09:56:33 UTC
10430,7,11,13,0,0,0.0165,Low,2026-04-04 09:56:33 UTC
30829,3,11,12,0,0,0.0515,Low,2026-04-04 09:56:33 UTC
6790,5,2,21,0,0,0.385,Medium,2026-04-04 09:56:33 UTC
1564,4,7,3,0,0,0.0011,Low,2026-04-04 09:56:33 UTC
13736,4,8,7,0,0,0.0553,Low,2026-04-04 09:56:33 UTC
15184,5,3,15,0,0,0.0032,Low,2026-04-04 09:56:33 UTC
15184,4,3,15,0,0,0.0114,Low,2026-04-04 09:56:33 UTC
11735,7,11,22,0,0,0.0129,Low,2026-04-04 09:56:33 UTC
173,2,4,4,0,0,0.1448,Low,2026-04-04 09:56:33 UTC
18730,2,5,9,0,0,0.0225,Low,2026-04-04 09:56:33 UTC
12916,9,8,3,0,0,0.0153,Low,2026-04-04 09:56:33 UTC
7807,9,4,6,0,0,0.1845,Low,2026-04-04 09:56:33 UTC
11272,3,11,15,0,0,0.2105,Medium,2026-04-04 09:56:33 UTC
16179,1,5,2,0,0,0.007,Low,2026-04-04 09:56:33 UTC
27367,7,1,6,0,0,0.0002,Low,2026-04-04 09:56:33 UTC
29891,4,5,10,0,0,0.0393,Low,2026-04-04 09:56:33 UTC
33946,1,8,9,0,0,0.0953,Low,2026-04-04 09:56:33 UTC
31528,1,3,15,0,0,0.0071,Low,2026-04-04 09:56:33 UTC
32410,6,7,9,0,0,0.2024,Medium,2026-04-04 09:56:33 UTC
20623,9,8,6,0,0,0.0034,Low,2026-04-04 09:56:33 UTC
15561,3,3,8,0,0,0.1342,Low,2026-04-04 09:56:33 UTC
21240,2,5,23,0,0,0.0546,Low,2026-04-04 09:56:33 UTC
1792,6,13,15,0,0,0.0656,Low,2026-04-04 09:56:33 UTC
19359,3,12,14,0,0,0.1907,Low,2026-04-04 09:56:33 UTC
12876,1,4,11,0,0,0.0083,Low,2026-04-04 09:56:33 UTC
8605,9,1,12,0,0,0.0107,Low,2026-04-04 09:56:33 UTC
16436,5,11,19,0,0,0.012,Low,2026-04-04 09:56:33 UTC
9807,5,13,14,0,0,0.2611,Medium,2026-04-04 09:56:33 UTC
5166,7,2,5,0,0,0.0004,Low,2026-04-04 09:56:33 UTC
2459,1,15,10,0,0,0.0015,Low,2026-04-04 09:56:33 UTC
22206,6,8,5,0,0,0.0015,Low,2026-04-04 09:56:33 UTC
19851,6,5,2,0,0,0.0777,Low,2026-04-04 09:56:33 UTC
17612,5,2,19,0,0,0.0085,Low,2026-04-04 09:56:33 UTC
18847,5,2,6,0,0,0.0135,Low,2026-04-04 09:56:33 UTC
33441,3,9,8,0,0,0.12,Low,2026-04-04 09:56:33 UTC
28883,5,8,10,0,0,0.0491,Low,2026-04-04 09:56:33 UTC
19692,9,9,11,0,0,0.0131,Low,2026-04-04 09:56:33 UTC
27226,7,1,9,0,0,0.009,Low,2026-04-04 09:56:33 UTC
27226,1,1,9,0,0,0.0003,Low,2026-04-04 09:56:33 UTC
33970,1,1,9,0,0,0.0014,Low,2026-04-04 09:56:33 UTC
29310,6,1,5,0,0,0.0124,Low,2026-04-04 09:56:33 UTC
18775,3,3,6,0,0,0.0528,Low,2026-04-04 09:56:33 UTC
4314,1,1,17,0,0,0.0004,Low,2026-04-04 09:56:33 UTC
7273,10,12,0,0,0,0.0542,Low,2026-04-04 09:56:33 UTC
732,7,4,11,0,0,0.0019,Low,2026-04-04 09:56:33 UTC
22869,4,3,20,0,0,0.0238,Low,2026-04-04 09:56:33 UTC
