"fact_mob_sk","time_sk","zone_sk","line_sk","mode_sk","event_sk","stop_sk","weather_sk","annule","charge_estimee","vitesse_kmh","temps_trajet_min","congestion_index","stress_1_5","satisfaction_1_5","bak_vitesse_kmh","bak_temps_trajet_min","bak_stress_1_5","bak_weather_sk"
"58","11692","6","13","1","886","175",NULL,"0","24","13.76","16.9","4","1","2","13.76","16.9","1","0"
"59","17842","3","15","3","906","110",NULL,"0","42","38.04","17.95","1","3","1","38.04","1226","3","0"
"60","34338","1","14","1","908","143",NULL,"0","40","38.93","17.95","1","3","2","38.93","1543","3","0"
"61","11481","8","5","3","914","3",NULL,"0","34","33.18","17.95","2","4","2","33.18","1458","4","0"
"62","6456","7","1","3",NULL,"176",NULL,"0","40","27.45","17.95","2","4","3","27.45","2417","4","0"
"63","7313","4","2","2",NULL,"106",NULL,"0","71","6.5","17.95","4","2","1","6.5","1907","2","0"
"64","4242","10","8","1",NULL,"150",NULL,"0","70","8.06","27.23","4","3","2","8.06","27.23","3","0"
"65","33224","9","14","1",NULL,"41",NULL,"0","80","37.33","4.5","1","3","3","37.33","4.5","3","0"
"66","27331","3","1","5",NULL,"79",NULL,"0","27","27.65","17.95","2","2","2","2538","725","2","0"
"67","33914","10","13","5",NULL,"78",NULL,"0","74","27.44","31.36","2","3","4","27.44","31.36","3","0"
"68","14274","10","5","2",NULL,"91",NULL,"0","24","25.04","17.95","2","2","2","25.04","2455","2","0"
"69","13591","9","7","3",NULL,"122",NULL,"0","17","27.65","28.18","1","2","3","3663","28.18","2","0"
"70","33162","1","1","2",NULL,"176",NULL,"0","51","27.65","4.09","2","3","2","2687","4.09","3","0"
"71","28023","4","4","2",NULL,"8",NULL,"0","23","19.53","19.91","3","3","3","19.53","19.91","3","0"
"72","14551","5","3","4",NULL,"92",NULL,"0","0","26.49","17.95","2","2","2","26.49","1530","2","0"
"73","29411","1","2","4",NULL,"178",NULL,"0","61","27.65","28.15","2","3","4","2578","28.15","3","0"
"74","14042","6","13","4",NULL,"147",NULL,"0","52","27.65","21.52","2","2","2","3253","21.52","2","0"
"75","7785","4","12","5",NULL,"33",NULL,"0","44","27.65","17.95","2","4","1","2676","1427","4","0"
"76","2468","3","13","3",NULL,"45",NULL,"0","56","20.99","19.98","3","2","2","20.99","19.98","2","0"
"77","30263","1","4","2",NULL,"20",NULL,"0","41","27.65","17.95","3","5","2","1769","2139","5","0"
"78","11302","10","1","5",NULL,"34",NULL,"0","70","27.65","500","3","4","2","1882","-500","4","0"
"79","34068","8","2","1",NULL,"113",NULL,"0","51","27.65","17.95","3","2","4","2330","1661","2","0"
"80","8364","1","2","4",NULL,"150",NULL,"0","34","27.65","11.43","2","3","2","3275","11.43","3","0"
"81","12561","2","7","5",NULL,"72",NULL,"0","30","23.41","17.95","3","2","2","23.41","2008","2","0"
"82","9278","7","12","4",NULL,"23",NULL,"0","69","21.78","25.2","3","3","3","21.78","25.2","3","0"
"83","33345","2","5","3",NULL,"84",NULL,"1","38","36.48","17.95","1","2","3","36.48","2994","2","0"
"84","10821","5","3","4",NULL,"53",NULL,"0","71","26.46","17.95","2",NULL,"3","26.46","2304","0","0"
"85","26001","6","14","4",NULL,"85",NULL,"0","41","17.68","26.64","3","3","3","17.68","26.64","3","0"
"86","30137","6","15","2",NULL,"57",NULL,"0","42","27.65","17.95","3","1","3","2477","1565","1","0"
"87","3293","3","14","5",NULL,"180",NULL,"0","32","20.18","17.95","3","2","1","20.18","1378","2","0"
"88","17024","2","10","1",NULL,"97",NULL,"0","59","27.65","17.95","1","3","2","3951","1979","3","0"
"89","14921","3","7","3",NULL,"36",NULL,"1","47","22.24","17.95","3","3","2","22.24","2467","3","0"
"90","19100","8","7","5",NULL,"136",NULL,"0","27","27.42","25.32","2","4","2","27.42","25.32","4","0"
"91","19100","6","7","3",NULL,"136",NULL,"0","27","32.55","24.2","2","3","3","32.55","24.2","3","0"
"92","3949","6","5","5",NULL,"88",NULL,"0","37","18.45","19.51","3","3","2","18.45","19.51","3","0"
"93","3778","10","15","4",NULL,"176",NULL,"0","25","27.65","21.4","2","5","2","2853","21.4","5","0"
"94","579","2","10","2",NULL,"152",NULL,"0","33","27.65","12.76","3","4","2","2418","12.76","4","0"
"95","16202","5","14","2",NULL,"31",NULL,"0","73","15.49","16.39","3","1","5","15.49","16.39","1","0"
"96","4054","3","9","2",NULL,"128",NULL,"0","27","22.63","26.92","3","2","4","22.63","26.92","2","0"
"97","1118","6","15","3",NULL,"20",NULL,"0","40","27.65","13.63","2","2","3","2826","13.63","2","0"
"98","26972","4","2","2",NULL,"70",NULL,"0","60","30.44","17.95","2","3","4","30.44","2335","3","0"
"99","27359","3","14","2",NULL,"168",NULL,"0","20","38.38","17.95","1","4","4","38.38","2076","4","0"
"100","31753","5","4","1",NULL,"124","312265","0","57","44.01","19.71","1","3","2","44.01","19.71","3","312265"
"101","8114","4","14","3",NULL,"69",NULL,"0","52","29.19","21.68","2","2","1","29.19","21.68","2","0"
"102","24173","2","1","4",NULL,"66",NULL,"0","36","28.05","6.21","2","2","2","28.05","6.21","2","0"
"103","9118","9","4","5",NULL,"83",NULL,"0","86","29.87","15.91","2","2","3","29.87","15.91","2","0"
"104","30636","1","8","3",NULL,"87",NULL,"0","36","23.81","18.31","3","3","2","23.81","18.31","3","0"
"105","7266","5","9","3",NULL,"167",NULL,"0","50","27.65","17.95","4",NULL,"4","1144","1364","0","0"
"106","18215","9","14","5",NULL,"154",NULL,"0","22","27.65","17.95","2","1","3","3367","1700","1","0"
"107","16743","9","5","2",NULL,"136",NULL,"0","45","27.65","17.95","3","2","2","1856","1149","2","0"
"108","3888","9","11","5",NULL,"105",NULL,"0","42","27.65","24.24","2","2","2","2929","24.24","2","0"
"109","28359","10","5","3",NULL,"163",NULL,"0","60","39.88","20.84","1","1","1","39.88","20.84","1","0"
"110","16702","6","5","3",NULL,"159",NULL,"0","44","27.65","17.95","3","2","3","2211","1500","2","0"
"111","33901","3","9","2",NULL,"82",NULL,"0","55","27.65","24.44","1","1","2","3699","24.44","1","0"
"112","34431","3","2","2",NULL,"102",NULL,"0","51","43.44","21.59","1","2","2","43.44","21.59","2","0"
"113","12151","2","8","2",NULL,"61",NULL,"0","39","39.47","7.34","1","2","1","39.47","7.34","2","0"
"114","14625","5","7","5",NULL,"146",NULL,"0","59","39.08","17.95","1","3","3","39.08","2904","3","0"
"115","33946","1","7","3",NULL,"140",NULL,"0","49","27.65","12.46","1","3","3","4451","12.46","3","0"
"116","23400","5","1","5",NULL,"154",NULL,"0","83","31.59","17.95","2","3","1","31.59","1694","3","0"
"117","18215","9","1","5",NULL,"19",NULL,"0","49","27.65","17.95","2","1","3","3367","1700","1","0"
"118","23024","10","10","1",NULL,"67",NULL,"0","78","27.65","17.95","2","4","3","3488","1483","4","0"
"119","10002","4","13","2",NULL,"33",NULL,"0","28","31.88","17.95","2","2","3","31.88","2218","2","0"
"120","34710","7","4","3",NULL,"135",NULL,"0","63","38.8","25.39","1","3","1","38.8","25.39","3","0"
"121","25010","2","13","1",NULL,"171",NULL,"0","38","10.25","17.95","4","2","1","10.25","1941","2","0"
"122","13218","7","5","3",NULL,"36",NULL,"0","44","31.66","17.95","2","3","3","31.66","2140","3","0"
"123","13218","7","15","3",NULL,"55",NULL,"0","35","31.66","17.95","2","3","3","31.66","2140","3","0"
"124","18702","4","5","3",NULL,"147",NULL,"0","52","27.65","17.95","2","3","2","27.65","978","3","0"
"125","27283","9","15","5",NULL,"3",NULL,"0","53","27.65","17.95","3","1","2","1987","1432","1","0"
"126","30646","1","11","2",NULL,"26",NULL,"0","44","19.82","29.16","3","3","3","19.82","29.16","3","0"
"127","16950","5","4","1",NULL,"16",NULL,"1","56","27.65","17.95","1","4","3","4066","2507","4","0"
"128","16950","8","4","1",NULL,"16",NULL,"1","56","31.37","17.95","2","4","1","31.37","2279","4","0"
"129","14479","9","15","4",NULL,"104",NULL,"0","57","27.65","19.76","1","4","3","4584","19.76","4","0"
"130","6451","10","10","1",NULL,"31",NULL,"0","52","31.3","17.18","2","4","2","31.3","17.18","4","0"
"131","9536","10","1","1",NULL,"176",NULL,"0","63","27.65","7.12","2","1","4","2920","7.12","1","0"
"132","34435","1","14","4",NULL,"103",NULL,"0","59","27.65","17.95","2","2","3","3219","1144","2","0"
"133","18535","10","15","3",NULL,"6",NULL,"0","39","27.65","17.95","2",NULL,"1","3000","1858","0","0"
"134","999","6","5","5",NULL,"47",NULL,"0","39","27.65","6.13","1","3","4","4069","6.13","3","0"
"135","22180","3","12","5",NULL,"12",NULL,"0","58","27.65","17.95","3","3","1","1669","2086","3","0"
"136","22180","7","12","1",NULL,"12",NULL,"0","58","27.65","9.55","1","3","4","5178","9.55","3","0"
"137","24026","10","15","1",NULL,"148",NULL,"0","27","27.65","17.95","2","3","2","2537","3086","3","0"
"138","5313","6","1","2",NULL,"128",NULL,"0","81","27.65","17.95","2","3","5","3295","1198","3","0"
"139","5313","8","1","4",NULL,"128",NULL,"0","81","37.4","17.27","1","1","3","37.4","17.27","1","0"
"140","6451","10","8","1",NULL,"43",NULL,"0","54","31.3","17.18","2","4","2","31.3","17.18","4","0"
"141","2325","3","15","3",NULL,"164",NULL,"0","44","27.43","24.18","2",NULL,"1","27.43","24.18","0","0"
"142","22074","6","3","1",NULL,"145",NULL,"0","23","10.89","17.95","4","2","2","10.89","1513","2","0"
"143","33881","3","2","2",NULL,"103",NULL,"0","59","23.54","16.12","3","2","2","23.54","16.12","2","0"
"144","11064","8","12","3",NULL,"134",NULL,"0","39","39.18","17.95","1","1","2","39.18","2194","1","0"
"145","4345","8","5","2",NULL,"89","249793","0","30","14.22","13.66","4","3","2","14.22","13.66","3","249793"
"146","23400","5","3","5",NULL,"175",NULL,"0","54","31.59","17.95","2","3","1","31.59","1694","3","0"
"147","26602","5","2","3",NULL,"45",NULL,"0","24","27.65","8.39","2","2","4","3422","8.39","2","0"
"148","24385","1","2","1",NULL,"106","24385","0","10","27.65","12.46","3","2","4","1993","12.46","2","24385"
"149","25602","7","3","5",NULL,"128",NULL,"0","44","36.46","17.95","1","4","3","36.46","1711","4","0"
"150","2959","10","3","2",NULL,"35",NULL,"0","42","18.8","12.7","3","3","3","18.8","12.7","3","0"
"151","32449","10","7","3",NULL,"152","242833","0","11","27.65","17.95","2","3","3","2663","1297","3","242833"
"152","26772","3","12","5",NULL,"123",NULL,"0","33","37.83","20.06","1","2","1","37.83","20.06","2","0"
"153","4054","3","14","2",NULL,"135",NULL,"0","40","22.63","26.92","3","2","4","22.63","26.92","2","0"
"154","11414","5","11","2",NULL,"31",NULL,"0","40","27.65","6.66","3","2","4","2493","6.66","2","0"
"155","15620","4","8","3",NULL,"6",NULL,"0","19","32.29","12.32","2","3","1","32.29","12.32","3","0"
"156","20210","7","10","5",NULL,"19",NULL,"0","76","13.99","24.59","4","2","1","13.99","24.59","2","0"
"157","16097","3","10","3",NULL,"30",NULL,"0","38","27.65","17.95","2","2","2","2621","2055","2","0"
"158","28657","4","8","1",NULL,"158","133849","0","19","30.3","17.95","2","1","1","30.3","1917","1","133849"
"159","33434","3","11","2",NULL,"18",NULL,"0","56","26.93","17.95","2","3","3","26.93","2219","3","0"
"160","21114","10","8","1",NULL,"133",NULL,"0","37","41.87","23.63","1","1","2","41.87","23.63","1","0"
"161","8277","1","13","2",NULL,"15",NULL,"0","43","20.69","17.95","3","1","3","20.69","1788","1","0"
"162","25417","2","1","5",NULL,"129","95545","0","76","40.27","21.64","1","3","4","40.27","21.64","3","95545"
"163","15442","6","13","1",NULL,"115",NULL,"0","56","23.1","13.58","3","5","2","23.1","13.58","5","0"
"164","4320","3","2","3",NULL,"15",NULL,"0","30","27.65","17.95","2","2","3","3339","1454","2","0"
"165","11477","10","10","2",NULL,"160",NULL,"1","98","23.96","17.95","3","3","4","23.96","2015","3","0"
"166","18108","1","13","2",NULL,"72",NULL,"0","31","17.51","5.47","3","3","1","17.51","5.47","3","0"
"167","13226","6","10","1",NULL,"61",NULL,"0","50","43.51","17.95","1","3","2","43.51","1154","3","0"
"168","30334","5","10","2",NULL,"26",NULL,"0","41","27.65","17.95","2","4","3","2832","2366","4","0"
"169","898","7","1","3",NULL,"68",NULL,"0","26","27.65","18.28","2","3","4","2753","18.28","3","0"
"170","19620","7","9","5",NULL,"88",NULL,"0","30","34.03","23.13","2","2","2","34.03","23.13","2","0"
"171","22874","9","14","5",NULL,"90",NULL,"0","51","27.65","13.57","1","3","4","3806","13.57","3","0"
"172","26653","3","13","3",NULL,"114",NULL,"1","41","44.08","17.95","1","1","3","44.08","1843","1","0"
"173","14441","3","11","2",NULL,"85",NULL,"0","60","24.53","17.95","3","3","4","24.53","2515","3","0"
"174","2871","6","3","1",NULL,"38",NULL,"0","23","25.16","17.95","2","4","3","25.16","1704","4","0"
"175","18390","9","3","3",NULL,"104",NULL,"0","28","27.65","14.46","3","1","3","2433","14.46","1","0"
"176","25253","6","5","4",NULL,"153",NULL,"0","52","27.65","17.95","1","1","3","3754","1321","1","0"
"177","5757","3","3","1",NULL,"172",NULL,"0","30","29.48","17.95","2","2","2","29.48","1902","2","0"
"178","7982","6","8","1",NULL,"6",NULL,"0","69","27.65","17.95","3","3","4","1857","1484","3","0"
"179","17751","6","4","2",NULL,"101",NULL,"0","61","27.78","17.95","2","1","2","27.78","1315","1","0"
"180","2919","6","3","3",NULL,"116",NULL,"0","44","27.65","10","3","3","3","2181","10","3","0"
"181","32082","4","2","2",NULL,"96",NULL,"0","64","28.57","17.95","2","2","3","28.57","2496","2","0"
"182","26859","10","12","1",NULL,"19",NULL,"0","35","27.65","17.95","2","2","3","2683","2283","2","0"
"183","8523","1","4","2",NULL,"177",NULL,"0","63","27.65","23.11","1","2","3","3508","23.11","2","0"
"184","12515","3","7","2",NULL,"172",NULL,"0","30","27.65","17.95","2","2","3","2707","1601","2","0"
"185","22953","7","4","2",NULL,"86",NULL,"0","55","31.57","17.95","2","2","3","31.57","2677","2","0"
"186","23741","3","11","2",NULL,"89",NULL,"0","56","35.53","17.95","1","3","2","35.53","2135","3","0"
"187","30772","8","1","2",NULL,"53",NULL,"0","26","10.65","17.95","4","2","2","10.65","2220","2","0"
"188","1497","8","5","2",NULL,"133",NULL,"0","62","27.65","19.45","3","3","1","2333","19.45","3","0"
"189","7705","5","9","5",NULL,"84","288217","0","38","32.94","17.95","2","2","2","32.94","2580","2","288217"
"190","2086","6","4","2",NULL,"168",NULL,"0","51","27.65","14.33","2","2","2","3326","14.33","2","0"
"191","11524","2","2","1",NULL,"15",NULL,"0","73","27.65","12.97","2","1","2","2967","12.97","1","0"
"192","32847","8","5","5",NULL,"61",NULL,"0","23","27.65","17.95","3","2","2","2055","1740","2","0"
"193","22257","1","4","2",NULL,"33",NULL,"0","51","27.65","21.71","2","3","2","3195","21.71","3","0"
"194","16097","3","1","3",NULL,"85",NULL,"0","46","27.65","17.95","2","2","2","2621","2055","2","0"
"195","25253","6","12","4",NULL,"105",NULL,"0","7","27.65","17.95","1","1","3","3754","1321","1","0"
"196","3576","3","14","3",NULL,"71",NULL,"0","35","27.65","20.88","2","2","4","3240","20.88","2","0"
"197","18122","3","2","3",NULL,"118",NULL,"0","31","27.65","17.95","1","2","3","3561","1485","2","0"
"198","18627","8","2","4",NULL,"103",NULL,"0","22","27.65","15.99","4","2","3","1299","15.99","2","0"
"199","3197","6","11","1",NULL,"154",NULL,"0","23","36.62","17.95","1","1","2","36.62","1553","1","0"
"200","26062","3","10","2",NULL,"25",NULL,"0","69","27.65","17.95","3","4","4","1881","1719","4","0"
"201","3325","1","5","2",NULL,"83",NULL,"0","14","31.48","26.25","2","5","2","31.48","26.25","5","0"
"202","3570","2","10","1",NULL,"51",NULL,"0","54","13.22","17.95","4","2","4","13.22","1220","2","0"
"203","21699","10","5","1",NULL,"144",NULL,"0","65","38.16","17.95","1","2","3","38.16","1410","2","0"
"204","31632","5","13","1",NULL,"108",NULL,"0","44","27.65","17.95","2","4","3","2519","1963","4","0"
"205","10717","4","1","4",NULL,"48",NULL,"0","0","23.1","18.56","3","3","2","23.1","18.56","3","0"
"206","4564","9","15","1",NULL,"67",NULL,"0","52","35.06","24.58","1","2","3","35.06","24.58","2","0"
"207","8525","5","4","1",NULL,"93",NULL,"0","40","27.15","6.41","2","2","1","27.15","6.41","2","0"
"208","26844","1","9","2",NULL,"73",NULL,"0","61","27.65","9.03","1","2","3","4931","9.03","2","0"
"209","12827","6","14","4",NULL,"21",NULL,"0","21","27.65","17.95","2","4","3","3169","2067","4","0"
"210","31343","9","10","2",NULL,"56",NULL,"1","71","27.65","17.95","1","2","1","3815","1856","2","0"
"211","5616","5","8","2",NULL,"94",NULL,"0","35","27.65","21.13","1","2","4","4621","21.13","2","0"
"212","15336","8","1","3",NULL,"179",NULL,"0","34","27.65","22.47","3","3","2","2275","22.47","3","0"
"213","20657","2","15","2",NULL,"76",NULL,"0","36","37.44","17.95","1","3","1","37.44","1056","3","0"
"214","26213","10","3","4",NULL,"64",NULL,"0","23","27.65","17.95","2",NULL,"3","3187","2039","0","0"
"215","8869","1","5","4",NULL,"34",NULL,"0","48","27.23","22.4","2","1","2","27.23","22.4","1","0"
"216","13539","1","15","1",NULL,"150",NULL,"0","20","27.65","18.94","4","3","3","1427","18.94","3","0"
"217","28402","1","3","5",NULL,"27",NULL,"0","27","22.73","17.95","3","3","3","22.73","2393","3","0"
"218","4617","4","10","4",NULL,"134",NULL,"0","11","27.65","17.95","4","2","2","1096","3379","2","0"
"219","34051","10","8","1",NULL,"118",NULL,"0","34","27.65","6","2","1","3","3200","6","1","0"
"220","3028","2","14","5",NULL,"50",NULL,"0","111","27.65","14.22","2","3","4","2608","14.22","3","0"
"221","1589","9","10","1",NULL,"89",NULL,"0","47","27.65","17.95","3","3","1","2382","1446","3","0"
"222","28372","1","15","4",NULL,"33",NULL,"0","19","14.29","21.96","4","3","1","14.29","21.96","3","0"
"223","26062","3","5","2",NULL,"172",NULL,"0","58","27.65","17.95","3","4","4","1881","1719","4","0"
"224","29212","10","8","4",NULL,"123",NULL,"0","36","37.2","22.56","1","4","2","37.2","22.56","4","0"
"225","6801","3","11","5",NULL,"104",NULL,"0","21","37.3","17.95","1","3","3","37.3","2255","3","0"
"226","28821","6","4","3",NULL,"142",NULL,"0","21","27.65","17.95","3","1","2","1936","1060","1","0"
"227","34113","8","8","3",NULL,"164",NULL,"0","99","28.19","17.95","2","4","3","28.19","1656","4","0"
"228","21128","7","15","4",NULL,"170",NULL,"0","62","25.58","17.95","2","1","4","25.58","1033","1","0"
"229","32016","8","9","4",NULL,"94",NULL,"0","48","25.61","16.41","2","4","2","25.61","16.41","4","0"
"230","4242","10","1","1",NULL,"36",NULL,"0","43","8.06","27.23","4","3","2","8.06","27.23","3","0"
"231","4714","6","15","3",NULL,"111",NULL,"0","41","27.65","17.95","1","1","1","4151","2221","1","0"
"232","8626","7","5","5",NULL,"103",NULL,"0","24","27.57","17.95","2","2","3","27.57","2146","2","0"
"233","33379","8","5","3",NULL,"42",NULL,"0","30","18.77","24.58","3","2","3","18.77","24.58","2","0"
"234","29334","8","2","2",NULL,"50",NULL,"0","37","27.65","17.95","2","3","2","3321","1785","3","0"
"235","14441","3","13","2",NULL,"20",NULL,"0","0","24.53","17.95","3","3","4","24.53","2515","3","0"
"236","6681","5","14","3",NULL,"104",NULL,"0","26","27.65","33.11","9","1","3","3100","33.11","1","0"
"237","13936","9","3","5",NULL,"4",NULL,"0","64","22.64","20.48","3","2","2","22.64","20.48","2","0"
"238","5658","3","8","4",NULL,"68",NULL,"0","67","17.88","14.63","3","4","2","17.88","14.63","4","0"
"239","7983","9","10","2",NULL,"141",NULL,"0","52","38.35","15.68","1","3","3","38.35","15.68","3","0"
"240","32068","8","9","5",NULL,"167",NULL,"0","42","30.67","25.39","2","2","3","30.67","25.39","2","0"
"241","29212","10","10","4",NULL,"130",NULL,"0","70","37.2","22.56","1","4","2","37.2","22.56","4","0"
"242","11259","1","13","1",NULL,"139",NULL,"0","46","27.21","17.95","2","1","3","27.21","1040","1","0"
"243","17401","2","1","2",NULL,"34","87529","0","64","27.65","17.95","3",NULL,"3","1868","1552","0","87529"
"244","15409","10","4","2",NULL,"42","225793","0","61","45.28","18.25","1","3","2","45.28","18.25","3","225793"
"245","14466","9","15","5",NULL,"157",NULL,"0","52","27.65","17.61","2",NULL,"2","2834","17.61","0","0"
"246","28890","1","9","1",NULL,"119",NULL,"0","46","23.29","13.71","3","3","1","23.29","13.71","3","0"
"247","20569","1","1","3",NULL,"30","20569","0","39","27.65","24.98","3","4","1","2173","24.98","4","20569"
"248","13592","2","2","3",NULL,"177",NULL,"0","53","27.65","17.95","3","2","1","2014","695","2","0"
"249","28896","6","15","2",NULL,"67",NULL,"0","42","27.65","17.95","3","2","4","1556","2605","2","0"
"250","11051","8","13","2",NULL,"45",NULL,"0","69","19.9","17.95","3","3","3","19.9","1096","3","0"
"251","33885","10","13","3",NULL,"27",NULL,"0","60","27.65","12.8","2","4","3","2835","12.8","4","0"
"252","33885","9","13","3",NULL,"27",NULL,"0","60","37.53","19.77","1","2","2","37.53","19.77","2","0"
"253","20810","8","5","5",NULL,"147",NULL,"0","32","24.06","17.95","3","3","2","24.06","1039","3","0"
"254","10179","8","1","1",NULL,"100",NULL,"0","48","27.52","17.95","2","2","4","27.52","1666","2","0"
"255","8339","7","15","5",NULL,"140",NULL,"0","12","30.79","17.95","9","1","3","30.79","1298","1","0"
"256","34095","7","5","1",NULL,"6",NULL,"0","37","23.53","17.95","3","3","3","23.53","1951","3","0"
"257","32607","5","12","2",NULL,"15",NULL,"0","32","25.6","17.95","2","4","4","25.6","1747","4","0"
